year,sum,variable,timescale,region
2001,0.0,BA_Forest_NonForest,seasonal_mam,PAL
2002,0.0,BA_Forest_NonForest,seasonal_mam,PAL
2003,0.0,BA_Forest_NonForest,seasonal_mam,PAL
2004,0.0,BA_Forest_NonForest,seasonal_mam,PAL
2005,0.0,BA_Forest_NonForest,seasonal_mam,PAL
2006,0.0,BA_Forest_NonForest,seasonal_mam,PAL
2007,0.0,BA_Forest_NonForest,seasonal_mam,PAL
2008,0.0,BA_Forest_NonForest,seasonal_mam,PAL
2009,0.0,BA_Forest_NonForest,seasonal_mam,PAL
2010,0.0,BA_Forest_NonForest,seasonal_mam,PAL
2011,0.0,BA_Forest_NonForest,seasonal_mam,PAL
2012,0.0,BA_Forest_NonForest,seasonal_mam,PAL
2013,0.0,BA_Forest_NonForest,seasonal_mam,PAL
2014,0.0,BA_Forest_NonForest,seasonal_mam,PAL
2015,0.0,BA_Forest_NonForest,seasonal_mam,PAL
2016,0.0,BA_Forest_NonForest,seasonal_mam,PAL
2017,0.0,BA_Forest_NonForest,seasonal_mam,PAL
2018,0.0,BA_Forest_NonForest,seasonal_mam,PAL
2019,0.0,BA_Forest_NonForest,seasonal_mam,PAL
2020,0.0,BA_Forest_NonForest,seasonal_mam,PAL
2021,0.0,BA_Forest_NonForest,seasonal_mam,PAL
2022,0.0,BA_Forest_NonForest,seasonal_mam,PAL
2023,0.0,BA_Forest_NonForest,seasonal_mam,PAL
