year,sum,variable,timescale,country
2001,0.0,BA_Forest_NonForest,seasonal_mam,PNG
2002,0.0,BA_Forest_NonForest,seasonal_mam,PNG
2003,0.029,BA_Forest_NonForest,seasonal_mam,PNG
2004,0.005,BA_Forest_NonForest,seasonal_mam,PNG
2005,0.005,BA_Forest_NonForest,seasonal_mam,PNG
2006,0.052,BA_Forest_NonForest,seasonal_mam,PNG
2007,0.019000000000000003,BA_Forest_NonForest,seasonal_mam,PNG
2008,0.05900000000000001,BA_Forest_NonForest,seasonal_mam,PNG
2009,0.037000000000000005,BA_Forest_NonForest,seasonal_mam,PNG
2010,0.025,BA_Forest_NonForest,seasonal_mam,PNG
2011,0.033,BA_Forest_NonForest,seasonal_mam,PNG
2012,0.019,BA_Forest_NonForest,seasonal_mam,PNG
2013,0.003,BA_Forest_NonForest,seasonal_mam,PNG
2014,0.028999999999999998,BA_Forest_NonForest,seasonal_mam,PNG
2015,0.033,BA_Forest_NonForest,seasonal_mam,PNG
2016,0.008,BA_Forest_NonForest,seasonal_mam,PNG
2017,0.014,BA_Forest_NonForest,seasonal_mam,PNG
2018,0.035,BA_Forest_NonForest,seasonal_mam,PNG
2019,0.01,BA_Forest_NonForest,seasonal_mam,PNG
2020,0.08399999999999999,BA_Forest_NonForest,seasonal_mam,PNG
2021,0.024,BA_Forest_NonForest,seasonal_mam,PNG
2022,0.025,BA_Forest_NonForest,seasonal_mam,PNG
2023,0.0,BA_Forest_NonForest,seasonal_mam,PNG
