year,sum,variable,timescale,country
2001,0.0,BA_Forest_NonForest,seasonal_mam,XNC
2002,0.0,BA_Forest_NonForest,seasonal_mam,XNC
2003,0.0,BA_Forest_NonForest,seasonal_mam,XNC
2004,0.0,BA_Forest_NonForest,seasonal_mam,XNC
2005,0.0,BA_Forest_NonForest,seasonal_mam,XNC
2006,0.0,BA_Forest_NonForest,seasonal_mam,XNC
2007,0.0,BA_Forest_NonForest,seasonal_mam,XNC
2008,0.0,BA_Forest_NonForest,seasonal_mam,XNC
2009,0.0,BA_Forest_NonForest,seasonal_mam,XNC
2010,0.0,BA_Forest_NonForest,seasonal_mam,XNC
2011,0.0,BA_Forest_NonForest,seasonal_mam,XNC
2012,0.0,BA_Forest_NonForest,seasonal_mam,XNC
2013,0.0,BA_Forest_NonForest,seasonal_mam,XNC
2014,0.0,BA_Forest_NonForest,seasonal_mam,XNC
2015,0.0,BA_Forest_NonForest,seasonal_mam,XNC
2016,0.0,BA_Forest_NonForest,seasonal_mam,XNC
2017,0.0,BA_Forest_NonForest,seasonal_mam,XNC
2018,0.0,BA_Forest_NonForest,seasonal_mam,XNC
2019,0.0,BA_Forest_NonForest,seasonal_mam,XNC
2020,0.0,BA_Forest_NonForest,seasonal_mam,XNC
2021,0.0,BA_Forest_NonForest,seasonal_mam,XNC
2022,0.0,BA_Forest_NonForest,seasonal_mam,XNC
2023,0.0,BA_Forest_NonForest,seasonal_mam,XNC
