year,sum,variable,timescale,country
2001,0.007,BA_Forest_NonForest,seasonal_son,AZE
2002,0.065,BA_Forest_NonForest,seasonal_son,AZE
2003,0.001,BA_Forest_NonForest,seasonal_son,AZE
2004,0.001,BA_Forest_NonForest,seasonal_son,AZE
2005,0.003,BA_Forest_NonForest,seasonal_son,AZE
2006,0.013000000000000001,BA_Forest_NonForest,seasonal_son,AZE
2007,0.024,BA_Forest_NonForest,seasonal_son,AZE
2008,0.005,BA_Forest_NonForest,seasonal_son,AZE
2009,0.0,BA_Forest_NonForest,seasonal_son,AZE
2010,0.108,BA_Forest_NonForest,seasonal_son,AZE
2011,0.001,BA_Forest_NonForest,seasonal_son,AZE
2012,0.015000000000000001,BA_Forest_NonForest,seasonal_son,AZE
2013,0.002,BA_Forest_NonForest,seasonal_son,AZE
2014,0.0,BA_Forest_NonForest,seasonal_son,AZE
2015,0.003,BA_Forest_NonForest,seasonal_son,AZE
2016,0.007,BA_Forest_NonForest,seasonal_son,AZE
2017,0.115,BA_Forest_NonForest,seasonal_son,AZE
2018,0.03900000000000001,BA_Forest_NonForest,seasonal_son,AZE
2019,0.002,BA_Forest_NonForest,seasonal_son,AZE
2020,0.185,BA_Forest_NonForest,seasonal_son,AZE
2021,0.107,BA_Forest_NonForest,seasonal_son,AZE
2022,0.062,BA_Forest_NonForest,seasonal_son,AZE
2023,0.0,BA_Forest_NonForest,seasonal_son,AZE
