year,sum,variable,timescale,region
2001,0.0,BA_Forest_NonForest,seasonal_son,CR
2002,0.0,BA_Forest_NonForest,seasonal_son,CR
2003,0.0,BA_Forest_NonForest,seasonal_son,CR
2004,0.0,BA_Forest_NonForest,seasonal_son,CR
2005,0.001,BA_Forest_NonForest,seasonal_son,CR
2006,0.0,BA_Forest_NonForest,seasonal_son,CR
2007,0.004,BA_Forest_NonForest,seasonal_son,CR
2008,0.0,BA_Forest_NonForest,seasonal_son,CR
2009,0.002,BA_Forest_NonForest,seasonal_son,CR
2010,0.0,BA_Forest_NonForest,seasonal_son,CR
2011,0.0,BA_Forest_NonForest,seasonal_son,CR
2012,0.001,BA_Forest_NonForest,seasonal_son,CR
2013,0.004,BA_Forest_NonForest,seasonal_son,CR
2014,0.003,BA_Forest_NonForest,seasonal_son,CR
2015,0.0,BA_Forest_NonForest,seasonal_son,CR
2016,0.0,BA_Forest_NonForest,seasonal_son,CR
2017,0.0,BA_Forest_NonForest,seasonal_son,CR
2018,0.003,BA_Forest_NonForest,seasonal_son,CR
2019,0.0,BA_Forest_NonForest,seasonal_son,CR
2020,0.001,BA_Forest_NonForest,seasonal_son,CR
2021,0.0,BA_Forest_NonForest,seasonal_son,CR
2022,0.005,BA_Forest_NonForest,seasonal_son,CR
2023,0.0,BA_Forest_NonForest,seasonal_son,CR
