year,sum,variable,timescale,country
2001,0.034999999999999996,BA_Forest_NonForest,seasonal_son,ECU
2002,0.055,BA_Forest_NonForest,seasonal_son,ECU
2003,0.044,BA_Forest_NonForest,seasonal_son,ECU
2004,0.012,BA_Forest_NonForest,seasonal_son,ECU
2005,0.165,BA_Forest_NonForest,seasonal_son,ECU
2006,0.11200000000000002,BA_Forest_NonForest,seasonal_son,ECU
2007,0.256,BA_Forest_NonForest,seasonal_son,ECU
2008,0.002,BA_Forest_NonForest,seasonal_son,ECU
2009,0.176,BA_Forest_NonForest,seasonal_son,ECU
2010,0.013000000000000001,BA_Forest_NonForest,seasonal_son,ECU
2011,0.045000000000000005,BA_Forest_NonForest,seasonal_son,ECU
2012,0.7700000000000001,BA_Forest_NonForest,seasonal_son,ECU
2013,0.059000000000000004,BA_Forest_NonForest,seasonal_son,ECU
2014,0.060000000000000005,BA_Forest_NonForest,seasonal_son,ECU
2015,0.168,BA_Forest_NonForest,seasonal_son,ECU
2016,0.257,BA_Forest_NonForest,seasonal_son,ECU
2017,0.013000000000000001,BA_Forest_NonForest,seasonal_son,ECU
2018,0.17099999999999999,BA_Forest_NonForest,seasonal_son,ECU
2019,0.4089999999999999,BA_Forest_NonForest,seasonal_son,ECU
2020,0.216,BA_Forest_NonForest,seasonal_son,ECU
2021,0.037000000000000005,BA_Forest_NonForest,seasonal_son,ECU
2022,0.11499999999999999,BA_Forest_NonForest,seasonal_son,ECU
2023,0.0,BA_Forest_NonForest,seasonal_son,ECU
