year,sum,variable,timescale,country
2001,3.9250000000000003,BA_Forest_NonForest,yearly,CAN
2002,40.608999999999995,BA_Forest_NonForest,yearly,CAN
2003,34.869,BA_Forest_NonForest,yearly,CAN
2004,29.579,BA_Forest_NonForest,yearly,CAN
2005,11.66,BA_Forest_NonForest,yearly,CAN
2006,40.07699999999999,BA_Forest_NonForest,yearly,CAN
2007,17.679999999999996,BA_Forest_NonForest,yearly,CAN
2008,12.472,BA_Forest_NonForest,yearly,CAN
2009,12.365000000000002,BA_Forest_NonForest,yearly,CAN
2010,43.47899999999999,BA_Forest_NonForest,yearly,CAN
2011,34.815999999999995,BA_Forest_NonForest,yearly,CAN
2012,33.75599999999999,BA_Forest_NonForest,yearly,CAN
2013,71.33599999999998,BA_Forest_NonForest,yearly,CAN
2014,49.184,BA_Forest_NonForest,yearly,CAN
2015,97.625,BA_Forest_NonForest,yearly,CAN
2016,23.337999999999997,BA_Forest_NonForest,yearly,CAN
2017,64.564,BA_Forest_NonForest,yearly,CAN
2018,60.352,BA_Forest_NonForest,yearly,CAN
2019,37.88,BA_Forest_NonForest,yearly,CAN
2020,5.0089999999999995,BA_Forest_NonForest,yearly,CAN
2021,135.93200000000002,BA_Forest_NonForest,yearly,CAN
2022,41.94,BA_Forest_NonForest,yearly,CAN
2023,196.43199999999996,BA_Forest_NonForest,yearly,CAN
