year,sum,variable,timescale,region
2001,1.933,BA_Forest_NonForest,yearly,CI
2002,1.6420000000000003,BA_Forest_NonForest,yearly,CI
2003,2.1930000000000005,BA_Forest_NonForest,yearly,CI
2004,1.7630000000000001,BA_Forest_NonForest,yearly,CI
2005,3.3280000000000003,BA_Forest_NonForest,yearly,CI
2006,2.5240000000000005,BA_Forest_NonForest,yearly,CI
2007,5.5120000000000005,BA_Forest_NonForest,yearly,CI
2008,1.2640000000000002,BA_Forest_NonForest,yearly,CI
2009,1.967,BA_Forest_NonForest,yearly,CI
2010,0.9850000000000001,BA_Forest_NonForest,yearly,CI
2011,0.21700000000000003,BA_Forest_NonForest,yearly,CI
2012,3.2520000000000002,BA_Forest_NonForest,yearly,CI
2013,3.638,BA_Forest_NonForest,yearly,CI
2014,1.0030000000000001,BA_Forest_NonForest,yearly,CI
2015,1.1520000000000001,BA_Forest_NonForest,yearly,CI
2016,2.4850000000000003,BA_Forest_NonForest,yearly,CI
2017,0.217,BA_Forest_NonForest,yearly,CI
2018,1.335,BA_Forest_NonForest,yearly,CI
2019,0.704,BA_Forest_NonForest,yearly,CI
2020,1.938,BA_Forest_NonForest,yearly,CI
2021,0.338,BA_Forest_NonForest,yearly,CI
2022,0.9020000000000001,BA_Forest_NonForest,yearly,CI
2023,0.32,BA_Forest_NonForest,yearly,CI
