year,sum,variable,timescale,country
2001,0.6950000000000001,BA_Forest_NonForest,yearly,CRI
2002,0.391,BA_Forest_NonForest,yearly,CRI
2003,0.76,BA_Forest_NonForest,yearly,CRI
2004,0.25000000000000006,BA_Forest_NonForest,yearly,CRI
2005,0.315,BA_Forest_NonForest,yearly,CRI
2006,0.27,BA_Forest_NonForest,yearly,CRI
2007,0.648,BA_Forest_NonForest,yearly,CRI
2008,0.222,BA_Forest_NonForest,yearly,CRI
2009,0.34,BA_Forest_NonForest,yearly,CRI
2010,0.209,BA_Forest_NonForest,yearly,CRI
2011,0.054,BA_Forest_NonForest,yearly,CRI
2012,0.385,BA_Forest_NonForest,yearly,CRI
2013,1.269,BA_Forest_NonForest,yearly,CRI
2014,0.733,BA_Forest_NonForest,yearly,CRI
2015,0.8500000000000001,BA_Forest_NonForest,yearly,CRI
2016,1.1400000000000001,BA_Forest_NonForest,yearly,CRI
2017,0.401,BA_Forest_NonForest,yearly,CRI
2018,0.519,BA_Forest_NonForest,yearly,CRI
2019,1.016,BA_Forest_NonForest,yearly,CRI
2020,0.6579999999999999,BA_Forest_NonForest,yearly,CRI
2021,0.274,BA_Forest_NonForest,yearly,CRI
2022,1.161,BA_Forest_NonForest,yearly,CRI
2023,0.278,BA_Forest_NonForest,yearly,CRI
