year,sum,variable,timescale,country
2001,0.0,BA_Forest_NonForest,yearly,EST
2002,0.11400000000000002,BA_Forest_NonForest,yearly,EST
2003,0.192,BA_Forest_NonForest,yearly,EST
2004,0.046,BA_Forest_NonForest,yearly,EST
2005,0.002,BA_Forest_NonForest,yearly,EST
2006,0.049,BA_Forest_NonForest,yearly,EST
2007,0.002,BA_Forest_NonForest,yearly,EST
2008,0.030000000000000002,BA_Forest_NonForest,yearly,EST
2009,0.0,BA_Forest_NonForest,yearly,EST
2010,0.008,BA_Forest_NonForest,yearly,EST
2011,0.002,BA_Forest_NonForest,yearly,EST
2012,0.007,BA_Forest_NonForest,yearly,EST
2013,0.022,BA_Forest_NonForest,yearly,EST
2014,0.0,BA_Forest_NonForest,yearly,EST
2015,0.016,BA_Forest_NonForest,yearly,EST
2016,0.017,BA_Forest_NonForest,yearly,EST
2017,0.0,BA_Forest_NonForest,yearly,EST
2018,0.01,BA_Forest_NonForest,yearly,EST
2019,0.006,BA_Forest_NonForest,yearly,EST
2020,0.013000000000000001,BA_Forest_NonForest,yearly,EST
2021,0.004,BA_Forest_NonForest,yearly,EST
2022,0.001,BA_Forest_NonForest,yearly,EST
2023,0.0,BA_Forest_NonForest,yearly,EST
