year,sum,variable,timescale,country
2001,5.254,BA_Forest_NonForest,yearly,GNB
2002,4.681,BA_Forest_NonForest,yearly,GNB
2003,5.234,BA_Forest_NonForest,yearly,GNB
2004,1.297,BA_Forest_NonForest,yearly,GNB
2005,0.891,BA_Forest_NonForest,yearly,GNB
2006,4.966,BA_Forest_NonForest,yearly,GNB
2007,1.135,BA_Forest_NonForest,yearly,GNB
2008,2.101,BA_Forest_NonForest,yearly,GNB
2009,4.547000000000001,BA_Forest_NonForest,yearly,GNB
2010,0.524,BA_Forest_NonForest,yearly,GNB
2011,0.23,BA_Forest_NonForest,yearly,GNB
2012,0.958,BA_Forest_NonForest,yearly,GNB
2013,3.083,BA_Forest_NonForest,yearly,GNB
2014,4.845000000000001,BA_Forest_NonForest,yearly,GNB
2015,7.535,BA_Forest_NonForest,yearly,GNB
2016,0.184,BA_Forest_NonForest,yearly,GNB
2017,0.202,BA_Forest_NonForest,yearly,GNB
2018,2.3920000000000003,BA_Forest_NonForest,yearly,GNB
2019,2.8350000000000004,BA_Forest_NonForest,yearly,GNB
2020,1.2360000000000002,BA_Forest_NonForest,yearly,GNB
2021,0.449,BA_Forest_NonForest,yearly,GNB
2022,0.5680000000000001,BA_Forest_NonForest,yearly,GNB
2023,0.391,BA_Forest_NonForest,yearly,GNB
