year,sum,variable,timescale,region
2001,0.9730000000000001,BA_Forest_NonForest,yearly,KP
2002,0.26,BA_Forest_NonForest,yearly,KP
2003,1.1010000000000002,BA_Forest_NonForest,yearly,KP
2004,3.4330000000000007,BA_Forest_NonForest,yearly,KP
2005,1.342,BA_Forest_NonForest,yearly,KP
2006,0.584,BA_Forest_NonForest,yearly,KP
2007,0.561,BA_Forest_NonForest,yearly,KP
2008,1.107,BA_Forest_NonForest,yearly,KP
2009,2.9459999999999997,BA_Forest_NonForest,yearly,KP
2010,0.259,BA_Forest_NonForest,yearly,KP
2011,1.592,BA_Forest_NonForest,yearly,KP
2012,0.401,BA_Forest_NonForest,yearly,KP
2013,0.23000000000000004,BA_Forest_NonForest,yearly,KP
2014,3.398,BA_Forest_NonForest,yearly,KP
2015,0.9140000000000001,BA_Forest_NonForest,yearly,KP
2016,0.031,BA_Forest_NonForest,yearly,KP
2017,0.6230000000000001,BA_Forest_NonForest,yearly,KP
2018,0.9510000000000001,BA_Forest_NonForest,yearly,KP
2019,1.181,BA_Forest_NonForest,yearly,KP
2020,0.249,BA_Forest_NonForest,yearly,KP
2021,0.032,BA_Forest_NonForest,yearly,KP
2022,0.319,BA_Forest_NonForest,yearly,KP
2023,0.027999999999999997,BA_Forest_NonForest,yearly,KP
