year,sum,variable,timescale,country
2001,0.002,BA_Forest_NonForest,yearly,LTU
2002,0.025,BA_Forest_NonForest,yearly,LTU
2003,0.10800000000000001,BA_Forest_NonForest,yearly,LTU
2004,0.016,BA_Forest_NonForest,yearly,LTU
2005,0.0,BA_Forest_NonForest,yearly,LTU
2006,0.019,BA_Forest_NonForest,yearly,LTU
2007,0.011000000000000001,BA_Forest_NonForest,yearly,LTU
2008,0.024,BA_Forest_NonForest,yearly,LTU
2009,0.11900000000000001,BA_Forest_NonForest,yearly,LTU
2010,0.001,BA_Forest_NonForest,yearly,LTU
2011,0.022,BA_Forest_NonForest,yearly,LTU
2012,0.0,BA_Forest_NonForest,yearly,LTU
2013,0.029,BA_Forest_NonForest,yearly,LTU
2014,0.004,BA_Forest_NonForest,yearly,LTU
2015,0.033,BA_Forest_NonForest,yearly,LTU
2016,0.0,BA_Forest_NonForest,yearly,LTU
2017,0.0,BA_Forest_NonForest,yearly,LTU
2018,0.056999999999999995,BA_Forest_NonForest,yearly,LTU
2019,0.03900000000000001,BA_Forest_NonForest,yearly,LTU
2020,0.011,BA_Forest_NonForest,yearly,LTU
2021,0.002,BA_Forest_NonForest,yearly,LTU
2022,0.11700000000000002,BA_Forest_NonForest,yearly,LTU
2023,0.0,BA_Forest_NonForest,yearly,LTU
