year,sum,variable,timescale,region
2001,13.877,BA_Forest_NonForest,yearly,PY
2002,39.815,BA_Forest_NonForest,yearly,PY
2003,20.114,BA_Forest_NonForest,yearly,PY
2004,22.414,BA_Forest_NonForest,yearly,PY
2005,30.818,BA_Forest_NonForest,yearly,PY
2006,19.200000000000003,BA_Forest_NonForest,yearly,PY
2007,33.87799999999999,BA_Forest_NonForest,yearly,PY
2008,10.614,BA_Forest_NonForest,yearly,PY
2009,13.895000000000001,BA_Forest_NonForest,yearly,PY
2010,12.957000000000003,BA_Forest_NonForest,yearly,PY
2011,14.336000000000002,BA_Forest_NonForest,yearly,PY
2012,19.948,BA_Forest_NonForest,yearly,PY
2013,15.116,BA_Forest_NonForest,yearly,PY
2014,10.112000000000002,BA_Forest_NonForest,yearly,PY
2015,8.005,BA_Forest_NonForest,yearly,PY
2016,8.987000000000002,BA_Forest_NonForest,yearly,PY
2017,26.191999999999993,BA_Forest_NonForest,yearly,PY
2018,8.769000000000004,BA_Forest_NonForest,yearly,PY
2019,30.796,BA_Forest_NonForest,yearly,PY
2020,17.115000000000002,BA_Forest_NonForest,yearly,PY
2021,19.183,BA_Forest_NonForest,yearly,PY
2022,9.724,BA_Forest_NonForest,yearly,PY
2023,2.252,BA_Forest_NonForest,yearly,PY
