year,sum,variable,timescale,country
2001,3.783,BA_Forest_NonForest,yearly_jj,CHN
2002,11.344,BA_Forest_NonForest,yearly_jj,CHN
2003,42.94499999999999,BA_Forest_NonForest,yearly_jj,CHN
2004,14.965000000000003,BA_Forest_NonForest,yearly_jj,CHN
2005,17.939999999999998,BA_Forest_NonForest,yearly_jj,CHN
2006,12.602,BA_Forest_NonForest,yearly_jj,CHN
2007,10.230000000000002,BA_Forest_NonForest,yearly_jj,CHN
2008,57.36500000000001,BA_Forest_NonForest,yearly_jj,CHN
2009,17.525000000000002,BA_Forest_NonForest,yearly_jj,CHN
2010,18.823999999999998,BA_Forest_NonForest,yearly_jj,CHN
2011,15.737,BA_Forest_NonForest,yearly_jj,CHN
2012,9.712,BA_Forest_NonForest,yearly_jj,CHN
2013,7.3740000000000006,BA_Forest_NonForest,yearly_jj,CHN
2014,14.306000000000001,BA_Forest_NonForest,yearly_jj,CHN
2015,11.581000000000001,BA_Forest_NonForest,yearly_jj,CHN
2016,14.915000000000003,BA_Forest_NonForest,yearly_jj,CHN
2017,8.302,BA_Forest_NonForest,yearly_jj,CHN
2018,16.320999999999998,BA_Forest_NonForest,yearly_jj,CHN
2019,13.173999999999996,BA_Forest_NonForest,yearly_jj,CHN
2020,11.863,BA_Forest_NonForest,yearly_jj,CHN
2021,10.624,BA_Forest_NonForest,yearly_jj,CHN
2022,4.222999999999999,BA_Forest_NonForest,yearly_jj,CHN
2023,21.458,BA_Forest_NonForest,yearly_jj,CHN
