year,sum,variable,timescale,region
2001,0.0,BA_Forest_NonForest,yearly_jj,INDO
2002,3.619,BA_Forest_NonForest,yearly_jj,INDO
2003,55.58899999999999,BA_Forest_NonForest,yearly_jj,INDO
2004,7.922,BA_Forest_NonForest,yearly_jj,INDO
2005,46.70599999999999,BA_Forest_NonForest,yearly_jj,INDO
2006,8.778,BA_Forest_NonForest,yearly_jj,INDO
2007,56.105,BA_Forest_NonForest,yearly_jj,INDO
2008,5.196000000000001,BA_Forest_NonForest,yearly_jj,INDO
2009,2.7420000000000004,BA_Forest_NonForest,yearly_jj,INDO
2010,31.657,BA_Forest_NonForest,yearly_jj,INDO
2011,1.4370000000000003,BA_Forest_NonForest,yearly_jj,INDO
2012,12.810000000000002,BA_Forest_NonForest,yearly_jj,INDO
2013,17.801,BA_Forest_NonForest,yearly_jj,INDO
2014,7.809,BA_Forest_NonForest,yearly_jj,INDO
2015,27.178999999999995,BA_Forest_NonForest,yearly_jj,INDO
2016,49.864999999999995,BA_Forest_NonForest,yearly_jj,INDO
2017,1.6220000000000003,BA_Forest_NonForest,yearly_jj,INDO
2018,1.5220000000000002,BA_Forest_NonForest,yearly_jj,INDO
2019,9.639000000000001,BA_Forest_NonForest,yearly_jj,INDO
2020,36.43899999999999,BA_Forest_NonForest,yearly_jj,INDO
2021,1.85,BA_Forest_NonForest,yearly_jj,INDO
2022,0.732,BA_Forest_NonForest,yearly_jj,INDO
2023,0.5740000000000001,BA_Forest_NonForest,yearly_jj,INDO
