year,sum,variable,timescale,country
2001,0.0,BA_Forest_NonForest,yearly_jj,MAR
2002,0.0,BA_Forest_NonForest,yearly_jj,MAR
2003,0.005,BA_Forest_NonForest,yearly_jj,MAR
2004,0.005,BA_Forest_NonForest,yearly_jj,MAR
2005,0.008,BA_Forest_NonForest,yearly_jj,MAR
2006,0.005,BA_Forest_NonForest,yearly_jj,MAR
2007,0.013999999999999999,BA_Forest_NonForest,yearly_jj,MAR
2008,0.0,BA_Forest_NonForest,yearly_jj,MAR
2009,0.005,BA_Forest_NonForest,yearly_jj,MAR
2010,0.004,BA_Forest_NonForest,yearly_jj,MAR
2011,0.0,BA_Forest_NonForest,yearly_jj,MAR
2012,0.001,BA_Forest_NonForest,yearly_jj,MAR
2013,0.014,BA_Forest_NonForest,yearly_jj,MAR
2014,0.0,BA_Forest_NonForest,yearly_jj,MAR
2015,0.005,BA_Forest_NonForest,yearly_jj,MAR
2016,0.004,BA_Forest_NonForest,yearly_jj,MAR
2017,0.008,BA_Forest_NonForest,yearly_jj,MAR
2018,0.004,BA_Forest_NonForest,yearly_jj,MAR
2019,0.0,BA_Forest_NonForest,yearly_jj,MAR
2020,0.011,BA_Forest_NonForest,yearly_jj,MAR
2021,0.094,BA_Forest_NonForest,yearly_jj,MAR
2022,0.071,BA_Forest_NonForest,yearly_jj,MAR
2023,0.6790000000000002,BA_Forest_NonForest,yearly_jj,MAR
