year,sum,variable,timescale,country
2001,19.424999999999997,BA_Forest_NonForest,yearly_jj,ZMB
2002,226.234,BA_Forest_NonForest,yearly_jj,ZMB
2003,238.33299999999997,BA_Forest_NonForest,yearly_jj,ZMB
2004,265.35799999999995,BA_Forest_NonForest,yearly_jj,ZMB
2005,328.3759999999999,BA_Forest_NonForest,yearly_jj,ZMB
2006,224.78299999999993,BA_Forest_NonForest,yearly_jj,ZMB
2007,287.2299999999999,BA_Forest_NonForest,yearly_jj,ZMB
2008,240.78899999999993,BA_Forest_NonForest,yearly_jj,ZMB
2009,261.907,BA_Forest_NonForest,yearly_jj,ZMB
2010,195.32500000000002,BA_Forest_NonForest,yearly_jj,ZMB
2011,287.722,BA_Forest_NonForest,yearly_jj,ZMB
2012,287.01599999999996,BA_Forest_NonForest,yearly_jj,ZMB
2013,261.08299999999997,BA_Forest_NonForest,yearly_jj,ZMB
2014,286.741,BA_Forest_NonForest,yearly_jj,ZMB
2015,222.794,BA_Forest_NonForest,yearly_jj,ZMB
2016,305.49199999999996,BA_Forest_NonForest,yearly_jj,ZMB
2017,384.113,BA_Forest_NonForest,yearly_jj,ZMB
2018,262.42999999999995,BA_Forest_NonForest,yearly_jj,ZMB
2019,300.15199999999993,BA_Forest_NonForest,yearly_jj,ZMB
2020,304.666,BA_Forest_NonForest,yearly_jj,ZMB
2021,287.768,BA_Forest_NonForest,yearly_jj,ZMB
2022,260.69599999999997,BA_Forest_NonForest,yearly_jj,ZMB
2023,317.93899999999996,BA_Forest_NonForest,yearly_jj,ZMB
