year,1,2,3,4,5,6,7,8,9,10,11,12,variable,timescale,region
2001,32.638000000000005,11.370999999999999,7.526999999999999,1.517,0.22499999999999998,0.10600000000000001,0.0,0.0,0.193,6.344,108.86999999999999,75.21899999999998,BA_Total,monthly,CM
2002,21.682,13.352999999999998,5.321,0.8680000000000001,0.38399999999999995,0.096,0.097,0.0,0.054000000000000006,4.411,47.195000000000014,133.013,BA_Total,monthly,CM
2003,50.503,15.549,12.547,2.038,0.8459999999999999,0.065,0.001,0.012000000000000002,0.5080000000000001,6.6549999999999985,19.97,215.44299999999998,BA_Total,monthly,CM
2004,25.113999999999997,27.078000000000003,12.734999999999998,2.221,0.274,0.155,0.067,0.05700000000000001,1.226,10.052999999999999,28.987,108.557,BA_Total,monthly,CM
2005,38.445,20.14,7.183999999999999,0.8500000000000001,0.31000000000000005,0.514,0.085,0.001,0.16000000000000003,5.551000000000001,160.40099999999998,67.588,BA_Total,monthly,CM
2006,35.565,9.598,7.730000000000001,2.4339999999999997,0.426,0.263,0.046,0.001,0.205,6.447999999999999,36.25600000000001,121.507,BA_Total,monthly,CM
2007,23.871000000000002,24.544999999999995,6.739000000000001,1.0670000000000002,0.364,0.362,0.0,0.007,0.225,7.819,28.069000000000003,110.338,BA_Total,monthly,CM
2008,25.770999999999997,33.13,5.635999999999999,1.0370000000000001,0.29300000000000004,0.17200000000000001,0.004,0.001,0.9380000000000001,8.806000000000001,73.975,72.199,BA_Total,monthly,CM
2009,27.119,14.587000000000003,5.698999999999999,1.015,0.31800000000000006,0.10800000000000001,0.086,0.0,1.2930000000000001,2.768,19.375999999999998,115.948,BA_Total,monthly,CM
2010,28.181,12.573999999999998,11.153999999999998,0.6950000000000001,0.3440000000000001,0.39000000000000007,0.0,0.002,0.07100000000000001,1.4669999999999999,31.051999999999996,107.164,BA_Total,monthly,CM
2011,20.244,13.977000000000002,5.202000000000001,1.6119999999999999,0.453,0.023,0.012,0.009,0.36600000000000005,6.7379999999999995,30.413000000000004,79.07799999999999,BA_Total,monthly,CM
2012,21.809999999999995,17.645,5.272999999999999,0.7320000000000001,0.249,0.003,0.20800000000000005,0.002,0.654,2.4199999999999995,18.725999999999996,70.766,BA_Total,monthly,CM
2013,36.414,14.804000000000002,4.245,1.01,0.44200000000000006,0.043000000000000003,0.027,0.005,0.2710000000000001,6.235,33.469,43.98800000000001,BA_Total,monthly,CM
2014,20.02,11.536000000000001,4.569,0.82,0.336,0.459,0.14600000000000002,0.0,0.49,2.696,16.803999999999995,55.23499999999999,BA_Total,monthly,CM
2015,25.061000000000003,15.263,2.337,1.6219999999999999,0.406,0.022,0.061,0.049,0.082,3.6,18.402999999999995,29.474999999999994,BA_Total,monthly,CM
2016,42.598,18.759,1.556,1.276,0.248,0.019000000000000003,0.001,0.0,0.10099999999999998,4.186,25.609999999999996,41.232000000000006,BA_Total,monthly,CM
2017,23.652999999999995,15.086,4.469000000000001,1.0999999999999999,0.35300000000000004,0.043,0.0,0.007,0.5840000000000001,9.3,14.931,46.342,BA_Total,monthly,CM
2018,13.442999999999998,17.233,3.706,0.6409999999999999,0.44499999999999995,0.137,0.05500000000000001,0.004,0.16799999999999998,1.796,23.354999999999997,39.571999999999996,BA_Total,monthly,CM
2019,28.120999999999995,12.955,3.594,0.9309999999999999,0.14600000000000002,0.038,0.01,0.010000000000000002,0.191,0.7040000000000001,11.811,40.641,BA_Total,monthly,CM
2020,32.599,23.453999999999997,7.202,2.6649999999999996,0.863,0.5820000000000001,0.0,0.011,0.085,3.7279999999999998,20.533999999999995,49.04599999999999,BA_Total,monthly,CM
2021,32.818000000000005,14.535999999999998,6.473000000000001,1.3270000000000002,1.038,0.271,0.057999999999999996,0.001,0.396,5.589,16.16,39.71499999999999,BA_Total,monthly,CM
2022,26.304000000000002,15.665000000000001,8.364999999999997,0.17700000000000002,0.38400000000000006,0.048,0.012,0.014,0.442,4.023,15.696999999999997,48.464999999999996,BA_Total,monthly,CM
2023,15.006,30.218999999999998,5.489000000000001,0.9430000000000001,0.909,0.038,,,,,,,BA_Total,monthly,CM
