year,1,2,3,4,5,6,7,8,9,10,11,12,variable,timescale,country
2001,0.0,0.0,0.0,0.0,0.0,0.0,0.07800000000000001,0.028,0.007,0.0,0.0,0.0,BA_Total,monthly,CZE
2002,0.0,0.0,0.0,0.0,0.0,0.001,0.049,0.018,0.0,0.002,0.0,0.0,BA_Total,monthly,CZE
2003,0.0,0.027,0.109,0.0,0.0,0.0,0.07400000000000001,0.007,0.006,0.0,0.0,0.0,BA_Total,monthly,CZE
2004,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.037,0.004,0.001,0.0,0.0,BA_Total,monthly,CZE
2005,0.0,0.0,0.096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BA_Total,monthly,CZE
2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BA_Total,monthly,CZE
2007,0.0,0.0,0.0,0.0,0.0,0.017,0.08000000000000002,0.012,0.01,0.0,0.001,0.0,BA_Total,monthly,CZE
2008,0.0,0.0,0.0,0.0,0.0,0.0,0.116,0.018,0.002,0.001,0.0,0.0,BA_Total,monthly,CZE
2009,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.016,0.021000000000000005,0.0,0.0,0.0,BA_Total,monthly,CZE
2010,0.0,0.0,0.0,0.0,0.0,0.0,0.018000000000000002,0.0,0.004,0.0,0.0,0.0,BA_Total,monthly,CZE
2011,0.0,0.0,0.0,0.0,0.0,0.001,0.006,0.015,0.006,0.0,0.0,0.002,BA_Total,monthly,CZE
2012,0.0,0.0,0.007,0.0,0.0,0.004,0.053000000000000005,0.027000000000000003,0.001,0.0,0.0,0.0,BA_Total,monthly,CZE
2013,0.0,0.0,0.0,0.016,0.0,0.0,0.001,0.002,0.0,0.0,0.0,0.0,BA_Total,monthly,CZE
2014,0.0,0.001,0.009,0.0,0.0,0.0,0.0,0.001,0.0,0.001,0.035,0.0,BA_Total,monthly,CZE
2015,0.0,0.03,0.005,0.0,0.0,0.0,0.01,0.002,0.001,0.001,0.0,0.0,BA_Total,monthly,CZE
2016,0.0,0.0,0.0,0.0,0.0,0.0,0.052000000000000005,0.001,0.043000000000000003,0.0,0.0,0.0,BA_Total,monthly,CZE
2017,0.0,0.0,0.0,0.0,0.0,0.012,0.023000000000000003,0.001,0.132,0.014,0.0,0.0,BA_Total,monthly,CZE
2018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018000000000000002,0.007,0.0,0.0,BA_Total,monthly,CZE
2019,0.0,0.0,0.0,0.0,0.0,0.005,0.249,0.001,0.005,0.0,0.0,0.0,BA_Total,monthly,CZE
2020,0.0,0.0,0.0,0.0,0.0,0.0,0.013000000000000001,0.0,0.0,0.0,0.0,0.0,BA_Total,monthly,CZE
2021,0.0,0.0,0.004,0.0,0.0,0.0,0.004,0.001,0.024,0.0,0.0,0.0,BA_Total,monthly,CZE
2022,0.0,0.0,0.0,0.0,0.0,0.002,0.052000000000000005,0.01,0.002,0.001,0.0,0.0,BA_Total,monthly,CZE
2023,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,BA_Total,monthly,CZE
