year,1,2,3,4,5,6,7,8,9,10,11,12,variable,timescale,region
2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BA_Total,monthly,LB
2002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.002,0.0,0.0,0.0,BA_Total,monthly,LB
2003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.0,0.0,0.0,BA_Total,monthly,LB
2004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.006,0.0,0.0,BA_Total,monthly,LB
2005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BA_Total,monthly,LB
2006,0.0,0.0,0.0,0.0,0.0,0.0,0.046,0.004,0.02,0.001,0.0,0.0,BA_Total,monthly,LB
2007,0.0,0.0,0.0,0.0,0.0,0.0,0.015,0.0,0.0,0.034,0.003,0.0,BA_Total,monthly,LB
2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BA_Total,monthly,LB
2009,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BA_Total,monthly,LB
2010,0.0,0.0,0.0,0.0,0.0,0.0,0.014000000000000002,0.001,0.0,0.012,0.007,0.004,BA_Total,monthly,LB
2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,BA_Total,monthly,LB
2012,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.0,0.0,0.0,0.0,BA_Total,monthly,LB
2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BA_Total,monthly,LB
2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BA_Total,monthly,LB
2015,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.004,0.0,0.0,0.0,0.0,BA_Total,monthly,LB
2016,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,BA_Total,monthly,LB
2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.0,0.0,0.0,BA_Total,monthly,LB
2018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BA_Total,monthly,LB
2019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,BA_Total,monthly,LB
2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.068,0.0,0.0,BA_Total,monthly,LB
2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BA_Total,monthly,LB
2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BA_Total,monthly,LB
2023,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,BA_Total,monthly,LB
