year,1,2,3,4,5,6,7,8,9,10,11,12,variable,timescale,country
2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BA_Total,monthly,SWE
2002,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.012,0.0,0.0,0.0,BA_Total,monthly,SWE
2003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BA_Total,monthly,SWE
2004,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,BA_Total,monthly,SWE
2005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007,0.0,0.0,0.0,BA_Total,monthly,SWE
2006,0.0,0.0,0.0,0.0,0.047,0.0,0.015,0.075,0.025,0.0,0.0,0.0,BA_Total,monthly,SWE
2007,0.0,0.0,0.018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BA_Total,monthly,SWE
2008,0.0,0.0,0.0,0.004,0.0,0.006,0.0,0.0,0.0,0.0,0.0,0.0,BA_Total,monthly,SWE
2009,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,BA_Total,monthly,SWE
2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BA_Total,monthly,SWE
2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BA_Total,monthly,SWE
2012,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.001,0.0,0.0,0.0,BA_Total,monthly,SWE
2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BA_Total,monthly,SWE
2014,0.0,0.0,0.0,0.0,0.0,0.0,0.059,0.497,0.0,0.0,0.0,0.0,BA_Total,monthly,SWE
2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.001,0.0,0.0,0.0,BA_Total,monthly,SWE
2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BA_Total,monthly,SWE
2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BA_Total,monthly,SWE
2018,0.0,0.0,0.0,0.0,0.0,0.0,0.665,0.020999999999999998,0.0,0.0,0.0,0.0,BA_Total,monthly,SWE
2019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BA_Total,monthly,SWE
2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BA_Total,monthly,SWE
2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BA_Total,monthly,SWE
2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BA_Total,monthly,SWE
2023,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,BA_Total,monthly,SWE
