year,1,2,3,4,5,6,7,8,9,10,11,12,variable,timescale,country
2001,27.973,19.80999999999999,6.647000000000002,1.9949999999999999,0.005,0.0,0.0,0.0,0.0,0.017,0.48400000000000004,4.4559999999999995,BA_Total,monthly,THA
2002,17.103999999999996,11.492999999999995,15.970999999999998,4.527000000000001,0.052000000000000005,0.005,0.402,0.352,0.0,0.08700000000000001,0.34600000000000003,1.9380000000000004,BA_Total,monthly,THA
2003,14.549,15.561999999999996,17.88499999999999,8.171,0.5900000000000001,0.324,0.803,0.003,0.083,0.42,3.0020000000000002,8.229000000000001,BA_Total,monthly,THA
2004,27.586000000000002,23.52599999999999,37.06899999999999,5.195999999999999,0.29300000000000004,0.5830000000000001,0.35000000000000003,0.036,0.197,0.751,4.296,12.152999999999999,BA_Total,monthly,THA
2005,34.26099999999998,32.308,19.944999999999993,8.278,0.251,0.232,0.017,0.062000000000000006,0.0,0.07100000000000001,1.0120000000000002,1.8520000000000003,BA_Total,monthly,THA
2006,6.748000000000001,20.78699999999999,14.325999999999993,5.194000000000001,0.11200000000000002,0.0,0.0,0.0,0.0,0.24700000000000003,2.381,2.1990000000000003,BA_Total,monthly,THA
2007,19.271999999999995,30.35199999999999,41.492999999999995,6.325,0.679,0.168,0.057999999999999996,0.7100000000000001,0.0,0.113,1.2400000000000002,2.056,BA_Total,monthly,THA
2008,8.783999999999999,11.062999999999999,26.098999999999993,4.426000000000001,0.027000000000000003,0.0,0.0,0.4680000000000001,0.0,0.0,0.6370000000000001,1.206,BA_Total,monthly,THA
2009,6.483999999999998,24.619999999999997,20.848999999999997,10.152999999999999,0.16,0.8040000000000002,0.20000000000000004,0.562,0.068,0.10099999999999999,1.5010000000000001,1.869,BA_Total,monthly,THA
2010,7.0120000000000005,15.192999999999998,28.714999999999996,7.209000000000001,0.536,0.35300000000000004,0.194,0.0,0.0,0.041,1.5930000000000002,1.887,BA_Total,monthly,THA
2011,5.210000000000001,14.364999999999997,7.5440000000000005,5.7700000000000005,0.783,0.0,0.0,0.001,0.0,0.131,1.7610000000000001,2.6590000000000003,BA_Total,monthly,THA
2012,11.566999999999998,16.659999999999993,36.70099999999999,7.026999999999999,0.576,0.037,0.02,0.41800000000000004,0.057,0.19,0.9420000000000001,2.4640000000000004,BA_Total,monthly,THA
2013,10.728999999999996,13.633999999999997,17.209999999999997,9.972999999999999,0.3350000000000001,0.0,0.0,0.0,0.096,0.991,2.2190000000000003,2.061,BA_Total,monthly,THA
2014,5.584999999999999,20.35799999999999,30.93299999999999,8.164,0.4,0.131,0.0,0.451,0.187,0.30800000000000005,2.0810000000000004,3.5850000000000004,BA_Total,monthly,THA
2015,12.231999999999998,18.499999999999996,23.283999999999995,4.702000000000002,0.626,0.024,0.0,0.829,0.249,0.094,1.7480000000000002,2.7649999999999997,BA_Total,monthly,THA
2016,10.520999999999997,16.217,13.928999999999995,17.908999999999995,1.7280000000000002,0.002,0.0,0.043,0.042,0.353,3.1430000000000002,1.317,BA_Total,monthly,THA
2017,8.057,16.648999999999997,26.067,4.003,0.076,0.0,0.0,0.6720000000000002,0.532,0.155,2.264,3.516,BA_Total,monthly,THA
2018,6.306,7.310000000000001,14.718999999999992,7.195999999999998,0.274,0.0,0.0,0.0,0.092,0.151,3.9579999999999993,3.6150000000000007,BA_Total,monthly,THA
2019,11.637999999999998,28.03499999999999,14.511999999999995,12.101999999999997,2.3620000000000005,0.03300000000000001,0.10800000000000001,0.772,0.533,0.22300000000000003,6.070000000000001,9.329999999999998,BA_Total,monthly,THA
2020,14.558999999999992,17.627999999999993,26.659999999999993,11.348,0.7230000000000001,0.32300000000000006,0.195,0.0,0.0,0.02,3.7810000000000006,1.74,BA_Total,monthly,THA
2021,5.683000000000001,19.614999999999995,11.149999999999995,0.466,0.623,0.004,0.0,1.104,0.0,0.016,1.2790000000000001,0.6810000000000002,BA_Total,monthly,THA
2022,2.8870000000000005,4.114,2.67,1.897,0.045000000000000005,0.035,0.0,0.377,0.0,0.07,1.018,0.9950000000000002,BA_Total,monthly,THA
2023,3.281,28.654,9.628999999999998,5.412,1.1019999999999999,0.04,,,,,,,BA_Total,monthly,THA
