year,sum,variable,timescale,country
2001,0.0,BA_Total,seasonal_djf,AGO
2002,1.729,BA_Total,seasonal_djf,AGO
2003,2.184,BA_Total,seasonal_djf,AGO
2004,0.9100000000000001,BA_Total,seasonal_djf,AGO
2005,1.8160000000000003,BA_Total,seasonal_djf,AGO
2006,4.715,BA_Total,seasonal_djf,AGO
2007,1.4600000000000002,BA_Total,seasonal_djf,AGO
2008,9.55,BA_Total,seasonal_djf,AGO
2009,1.278,BA_Total,seasonal_djf,AGO
2010,3.1270000000000002,BA_Total,seasonal_djf,AGO
2011,0.14900000000000002,BA_Total,seasonal_djf,AGO
2012,29.42599999999999,BA_Total,seasonal_djf,AGO
2013,1.476,BA_Total,seasonal_djf,AGO
2014,8.568999999999999,BA_Total,seasonal_djf,AGO
2015,0.5850000000000001,BA_Total,seasonal_djf,AGO
2016,0.16,BA_Total,seasonal_djf,AGO
2017,5.777000000000001,BA_Total,seasonal_djf,AGO
2018,1.153,BA_Total,seasonal_djf,AGO
2019,4.1610000000000005,BA_Total,seasonal_djf,AGO
2020,0.763,BA_Total,seasonal_djf,AGO
2021,7.050000000000001,BA_Total,seasonal_djf,AGO
2022,3.9660000000000006,BA_Total,seasonal_djf,AGO
2023,2.66,BA_Total,seasonal_djf,AGO
