year,sum,variable,timescale,region
2001,0.0,BA_Total,seasonal_djf,GY
2002,0.508,BA_Total,seasonal_djf,GY
2003,2.046,BA_Total,seasonal_djf,GY
2004,1.9250000000000003,BA_Total,seasonal_djf,GY
2005,0.454,BA_Total,seasonal_djf,GY
2006,0.32799999999999996,BA_Total,seasonal_djf,GY
2007,1.8640000000000003,BA_Total,seasonal_djf,GY
2008,0.4080000000000001,BA_Total,seasonal_djf,GY
2009,0.10300000000000001,BA_Total,seasonal_djf,GY
2010,1.085,BA_Total,seasonal_djf,GY
2011,1.229,BA_Total,seasonal_djf,GY
2012,0.895,BA_Total,seasonal_djf,GY
2013,0.905,BA_Total,seasonal_djf,GY
2014,1.0170000000000001,BA_Total,seasonal_djf,GY
2015,1.915,BA_Total,seasonal_djf,GY
2016,1.086,BA_Total,seasonal_djf,GY
2017,0.527,BA_Total,seasonal_djf,GY
2018,1.4160000000000001,BA_Total,seasonal_djf,GY
2019,1.391,BA_Total,seasonal_djf,GY
2020,2.249,BA_Total,seasonal_djf,GY
2021,0.23199999999999998,BA_Total,seasonal_djf,GY
2022,0.6799999999999999,BA_Total,seasonal_djf,GY
2023,1.158,BA_Total,seasonal_djf,GY
