year,sum,variable,timescale,region
2001,0.0,BA_Total,seasonal_djf,HU
2002,0.001,BA_Total,seasonal_djf,HU
2003,0.0,BA_Total,seasonal_djf,HU
2004,0.001,BA_Total,seasonal_djf,HU
2005,0.0,BA_Total,seasonal_djf,HU
2006,0.0,BA_Total,seasonal_djf,HU
2007,0.08300000000000002,BA_Total,seasonal_djf,HU
2008,0.028,BA_Total,seasonal_djf,HU
2009,0.0,BA_Total,seasonal_djf,HU
2010,0.0,BA_Total,seasonal_djf,HU
2011,0.013000000000000001,BA_Total,seasonal_djf,HU
2012,0.037000000000000005,BA_Total,seasonal_djf,HU
2013,0.001,BA_Total,seasonal_djf,HU
2014,0.489,BA_Total,seasonal_djf,HU
2015,0.009000000000000001,BA_Total,seasonal_djf,HU
2016,0.0,BA_Total,seasonal_djf,HU
2017,0.016,BA_Total,seasonal_djf,HU
2018,0.0,BA_Total,seasonal_djf,HU
2019,0.049,BA_Total,seasonal_djf,HU
2020,0.0,BA_Total,seasonal_djf,HU
2021,0.001,BA_Total,seasonal_djf,HU
2022,0.023,BA_Total,seasonal_djf,HU
2023,0.0,BA_Total,seasonal_djf,HU
