year,sum,variable,timescale,country
2001,0.0,BA_Total,seasonal_djf,MWI
2002,0.001,BA_Total,seasonal_djf,MWI
2003,0.018000000000000002,BA_Total,seasonal_djf,MWI
2004,0.035,BA_Total,seasonal_djf,MWI
2005,0.004,BA_Total,seasonal_djf,MWI
2006,0.065,BA_Total,seasonal_djf,MWI
2007,0.008,BA_Total,seasonal_djf,MWI
2008,0.001,BA_Total,seasonal_djf,MWI
2009,0.276,BA_Total,seasonal_djf,MWI
2010,0.026,BA_Total,seasonal_djf,MWI
2011,0.114,BA_Total,seasonal_djf,MWI
2012,0.022,BA_Total,seasonal_djf,MWI
2013,0.01,BA_Total,seasonal_djf,MWI
2014,0.069,BA_Total,seasonal_djf,MWI
2015,0.086,BA_Total,seasonal_djf,MWI
2016,0.08099999999999999,BA_Total,seasonal_djf,MWI
2017,0.008,BA_Total,seasonal_djf,MWI
2018,0.001,BA_Total,seasonal_djf,MWI
2019,0.0,BA_Total,seasonal_djf,MWI
2020,0.009000000000000001,BA_Total,seasonal_djf,MWI
2021,0.006,BA_Total,seasonal_djf,MWI
2022,0.41000000000000003,BA_Total,seasonal_djf,MWI
2023,0.017,BA_Total,seasonal_djf,MWI
