year,sum,variable,timescale,country
2001,0.0,BA_Total,seasonal_djf,PRT
2002,0.16599999999999998,BA_Total,seasonal_djf,PRT
2003,0.0,BA_Total,seasonal_djf,PRT
2004,0.0,BA_Total,seasonal_djf,PRT
2005,0.044,BA_Total,seasonal_djf,PRT
2006,0.057999999999999996,BA_Total,seasonal_djf,PRT
2007,0.0,BA_Total,seasonal_djf,PRT
2008,0.007,BA_Total,seasonal_djf,PRT
2009,0.15500000000000003,BA_Total,seasonal_djf,PRT
2010,0.0,BA_Total,seasonal_djf,PRT
2011,0.044,BA_Total,seasonal_djf,PRT
2012,0.256,BA_Total,seasonal_djf,PRT
2013,0.0,BA_Total,seasonal_djf,PRT
2014,0.020999999999999998,BA_Total,seasonal_djf,PRT
2015,0.045000000000000005,BA_Total,seasonal_djf,PRT
2016,0.0,BA_Total,seasonal_djf,PRT
2017,0.08,BA_Total,seasonal_djf,PRT
2018,0.0,BA_Total,seasonal_djf,PRT
2019,0.01,BA_Total,seasonal_djf,PRT
2020,0.0,BA_Total,seasonal_djf,PRT
2021,0.005,BA_Total,seasonal_djf,PRT
2022,0.21599999999999997,BA_Total,seasonal_djf,PRT
2023,0.054000000000000006,BA_Total,seasonal_djf,PRT
