year,sum,variable,timescale,region
2001,0.0,BA_Total,seasonal_djf,RO
2002,0.267,BA_Total,seasonal_djf,RO
2003,0.0,BA_Total,seasonal_djf,RO
2004,0.031,BA_Total,seasonal_djf,RO
2005,0.03900000000000001,BA_Total,seasonal_djf,RO
2006,0.22,BA_Total,seasonal_djf,RO
2007,0.257,BA_Total,seasonal_djf,RO
2008,0.14700000000000002,BA_Total,seasonal_djf,RO
2009,0.057,BA_Total,seasonal_djf,RO
2010,0.002,BA_Total,seasonal_djf,RO
2011,0.108,BA_Total,seasonal_djf,RO
2012,0.488,BA_Total,seasonal_djf,RO
2013,0.159,BA_Total,seasonal_djf,RO
2014,0.22900000000000004,BA_Total,seasonal_djf,RO
2015,0.032,BA_Total,seasonal_djf,RO
2016,0.066,BA_Total,seasonal_djf,RO
2017,0.138,BA_Total,seasonal_djf,RO
2018,0.0,BA_Total,seasonal_djf,RO
2019,0.5290000000000001,BA_Total,seasonal_djf,RO
2020,0.201,BA_Total,seasonal_djf,RO
2021,0.132,BA_Total,seasonal_djf,RO
2022,0.022,BA_Total,seasonal_djf,RO
2023,0.07100000000000001,BA_Total,seasonal_djf,RO
