year,sum,variable,timescale,region
2001,0.41600000000000004,BA_Total,seasonal_jja,ARM
2002,0.032,BA_Total,seasonal_jja,ARM
2003,0.0,BA_Total,seasonal_jja,ARM
2004,0.126,BA_Total,seasonal_jja,ARM
2005,0.059,BA_Total,seasonal_jja,ARM
2006,0.30100000000000005,BA_Total,seasonal_jja,ARM
2007,0.002,BA_Total,seasonal_jja,ARM
2008,0.021,BA_Total,seasonal_jja,ARM
2009,0.005,BA_Total,seasonal_jja,ARM
2010,0.125,BA_Total,seasonal_jja,ARM
2011,0.054,BA_Total,seasonal_jja,ARM
2012,0.011,BA_Total,seasonal_jja,ARM
2013,0.103,BA_Total,seasonal_jja,ARM
2014,0.01,BA_Total,seasonal_jja,ARM
2015,0.10500000000000001,BA_Total,seasonal_jja,ARM
2016,0.047,BA_Total,seasonal_jja,ARM
2017,0.2,BA_Total,seasonal_jja,ARM
2018,0.17500000000000004,BA_Total,seasonal_jja,ARM
2019,0.179,BA_Total,seasonal_jja,ARM
2020,0.015000000000000001,BA_Total,seasonal_jja,ARM
2021,0.045000000000000005,BA_Total,seasonal_jja,ARM
2022,0.016,BA_Total,seasonal_jja,ARM
2023,0.0,BA_Total,seasonal_jja,ARM
