year,sum,variable,timescale,country
2001,9.676,BA_Total,seasonal_jja,AZE
2002,8.597,BA_Total,seasonal_jja,AZE
2003,8.381,BA_Total,seasonal_jja,AZE
2004,10.774,BA_Total,seasonal_jja,AZE
2005,5.682,BA_Total,seasonal_jja,AZE
2006,12.66,BA_Total,seasonal_jja,AZE
2007,5.523,BA_Total,seasonal_jja,AZE
2008,3.6270000000000002,BA_Total,seasonal_jja,AZE
2009,3.7840000000000003,BA_Total,seasonal_jja,AZE
2010,8.648,BA_Total,seasonal_jja,AZE
2011,8.763,BA_Total,seasonal_jja,AZE
2012,3.4570000000000003,BA_Total,seasonal_jja,AZE
2013,3.4380000000000006,BA_Total,seasonal_jja,AZE
2014,1.353,BA_Total,seasonal_jja,AZE
2015,15.269999999999998,BA_Total,seasonal_jja,AZE
2016,6.396,BA_Total,seasonal_jja,AZE
2017,6.193,BA_Total,seasonal_jja,AZE
2018,5.474,BA_Total,seasonal_jja,AZE
2019,10.092,BA_Total,seasonal_jja,AZE
2020,1.568,BA_Total,seasonal_jja,AZE
2021,6.749,BA_Total,seasonal_jja,AZE
2022,1.1920000000000002,BA_Total,seasonal_jja,AZE
2023,0.0,BA_Total,seasonal_jja,AZE
