year,sum,variable,timescale,country
2001,0.013,BA_Total,seasonal_jja,CAF
2002,0.017,BA_Total,seasonal_jja,CAF
2003,0.081,BA_Total,seasonal_jja,CAF
2004,0.008,BA_Total,seasonal_jja,CAF
2005,0.16899999999999998,BA_Total,seasonal_jja,CAF
2006,0.031,BA_Total,seasonal_jja,CAF
2007,0.001,BA_Total,seasonal_jja,CAF
2008,0.078,BA_Total,seasonal_jja,CAF
2009,0.08400000000000002,BA_Total,seasonal_jja,CAF
2010,0.09100000000000001,BA_Total,seasonal_jja,CAF
2011,0.15200000000000002,BA_Total,seasonal_jja,CAF
2012,0.001,BA_Total,seasonal_jja,CAF
2013,0.001,BA_Total,seasonal_jja,CAF
2014,0.028000000000000004,BA_Total,seasonal_jja,CAF
2015,0.014,BA_Total,seasonal_jja,CAF
2016,0.08800000000000001,BA_Total,seasonal_jja,CAF
2017,0.0,BA_Total,seasonal_jja,CAF
2018,0.065,BA_Total,seasonal_jja,CAF
2019,0.0,BA_Total,seasonal_jja,CAF
2020,0.004,BA_Total,seasonal_jja,CAF
2021,0.013000000000000001,BA_Total,seasonal_jja,CAF
2022,0.006,BA_Total,seasonal_jja,CAF
2023,0.0,BA_Total,seasonal_jja,CAF
