year,sum,variable,timescale,region
2001,0.29300000000000004,BA_Total,seasonal_jja,NM
2002,0.05600000000000001,BA_Total,seasonal_jja,NM
2003,0.051000000000000004,BA_Total,seasonal_jja,NM
2004,0.056,BA_Total,seasonal_jja,NM
2005,0.092,BA_Total,seasonal_jja,NM
2006,0.028,BA_Total,seasonal_jja,NM
2007,1.898,BA_Total,seasonal_jja,NM
2008,0.36000000000000004,BA_Total,seasonal_jja,NM
2009,0.007,BA_Total,seasonal_jja,NM
2010,0.032,BA_Total,seasonal_jja,NM
2011,0.29000000000000004,BA_Total,seasonal_jja,NM
2012,0.479,BA_Total,seasonal_jja,NM
2013,0.15700000000000003,BA_Total,seasonal_jja,NM
2014,0.013000000000000001,BA_Total,seasonal_jja,NM
2015,0.054,BA_Total,seasonal_jja,NM
2016,0.106,BA_Total,seasonal_jja,NM
2017,0.6460000000000001,BA_Total,seasonal_jja,NM
2018,0.0,BA_Total,seasonal_jja,NM
2019,0.111,BA_Total,seasonal_jja,NM
2020,0.021,BA_Total,seasonal_jja,NM
2021,0.45,BA_Total,seasonal_jja,NM
2022,0.026,BA_Total,seasonal_jja,NM
2023,0.0,BA_Total,seasonal_jja,NM
