year,sum,variable,timescale,country
2001,0.251,BA_Total,seasonal_jja,PER
2002,0.9820000000000001,BA_Total,seasonal_jja,PER
2003,1.314,BA_Total,seasonal_jja,PER
2004,0.6300000000000001,BA_Total,seasonal_jja,PER
2005,9.120999999999999,BA_Total,seasonal_jja,PER
2006,0.9630000000000001,BA_Total,seasonal_jja,PER
2007,1.679,BA_Total,seasonal_jja,PER
2008,1.2180000000000002,BA_Total,seasonal_jja,PER
2009,0.9610000000000001,BA_Total,seasonal_jja,PER
2010,5.828000000000001,BA_Total,seasonal_jja,PER
2011,1.1310000000000002,BA_Total,seasonal_jja,PER
2012,2.116,BA_Total,seasonal_jja,PER
2013,0.9080000000000001,BA_Total,seasonal_jja,PER
2014,1.646,BA_Total,seasonal_jja,PER
2015,1.114,BA_Total,seasonal_jja,PER
2016,3.6670000000000007,BA_Total,seasonal_jja,PER
2017,1.68,BA_Total,seasonal_jja,PER
2018,0.8670000000000001,BA_Total,seasonal_jja,PER
2019,3.3520000000000003,BA_Total,seasonal_jja,PER
2020,3.4890000000000003,BA_Total,seasonal_jja,PER
2021,1.9020000000000004,BA_Total,seasonal_jja,PER
2022,1.6230000000000002,BA_Total,seasonal_jja,PER
2023,0.0,BA_Total,seasonal_jja,PER
