year,sum,variable,timescale,country
2001,0.0,BA_Total,seasonal_jja,SUR
2002,0.013000000000000001,BA_Total,seasonal_jja,SUR
2003,0.0,BA_Total,seasonal_jja,SUR
2004,0.002,BA_Total,seasonal_jja,SUR
2005,0.0,BA_Total,seasonal_jja,SUR
2006,0.0,BA_Total,seasonal_jja,SUR
2007,0.014000000000000002,BA_Total,seasonal_jja,SUR
2008,0.004,BA_Total,seasonal_jja,SUR
2009,0.111,BA_Total,seasonal_jja,SUR
2010,0.017,BA_Total,seasonal_jja,SUR
2011,0.04,BA_Total,seasonal_jja,SUR
2012,0.025,BA_Total,seasonal_jja,SUR
2013,0.0,BA_Total,seasonal_jja,SUR
2014,0.0,BA_Total,seasonal_jja,SUR
2015,0.011,BA_Total,seasonal_jja,SUR
2016,0.001,BA_Total,seasonal_jja,SUR
2017,0.24500000000000002,BA_Total,seasonal_jja,SUR
2018,0.015,BA_Total,seasonal_jja,SUR
2019,0.004,BA_Total,seasonal_jja,SUR
2020,0.005,BA_Total,seasonal_jja,SUR
2021,0.0,BA_Total,seasonal_jja,SUR
2022,0.002,BA_Total,seasonal_jja,SUR
2023,0.0,BA_Total,seasonal_jja,SUR
