year,sum,variable,timescale,region
2001,0.0,BA_Total,seasonal_jja,TG
2002,0.0,BA_Total,seasonal_jja,TG
2003,0.0,BA_Total,seasonal_jja,TG
2004,0.0,BA_Total,seasonal_jja,TG
2005,0.0,BA_Total,seasonal_jja,TG
2006,0.0,BA_Total,seasonal_jja,TG
2007,0.0,BA_Total,seasonal_jja,TG
2008,0.0,BA_Total,seasonal_jja,TG
2009,0.0,BA_Total,seasonal_jja,TG
2010,0.0,BA_Total,seasonal_jja,TG
2011,0.0,BA_Total,seasonal_jja,TG
2012,0.0,BA_Total,seasonal_jja,TG
2013,0.0,BA_Total,seasonal_jja,TG
2014,0.0,BA_Total,seasonal_jja,TG
2015,0.0,BA_Total,seasonal_jja,TG
2016,0.0,BA_Total,seasonal_jja,TG
2017,0.0,BA_Total,seasonal_jja,TG
2018,0.0,BA_Total,seasonal_jja,TG
2019,0.0,BA_Total,seasonal_jja,TG
2020,0.0,BA_Total,seasonal_jja,TG
2021,0.0,BA_Total,seasonal_jja,TG
2022,0.0,BA_Total,seasonal_jja,TG
2023,0.0,BA_Total,seasonal_jja,TG
