year,sum,variable,timescale,country
2001,0.22000000000000003,BA_Total,seasonal_mam,CHL
2002,0.16700000000000004,BA_Total,seasonal_mam,CHL
2003,2.4670000000000005,BA_Total,seasonal_mam,CHL
2004,1.909,BA_Total,seasonal_mam,CHL
2005,3.5329999999999995,BA_Total,seasonal_mam,CHL
2006,1.078,BA_Total,seasonal_mam,CHL
2007,1.681,BA_Total,seasonal_mam,CHL
2008,2.625,BA_Total,seasonal_mam,CHL
2009,1.6110000000000002,BA_Total,seasonal_mam,CHL
2010,1.8050000000000002,BA_Total,seasonal_mam,CHL
2011,1.7920000000000003,BA_Total,seasonal_mam,CHL
2012,2.583,BA_Total,seasonal_mam,CHL
2013,0.495,BA_Total,seasonal_mam,CHL
2014,2.6569999999999996,BA_Total,seasonal_mam,CHL
2015,8.128,BA_Total,seasonal_mam,CHL
2016,1.586,BA_Total,seasonal_mam,CHL
2017,1.2010000000000003,BA_Total,seasonal_mam,CHL
2018,1.297,BA_Total,seasonal_mam,CHL
2019,2.291,BA_Total,seasonal_mam,CHL
2020,2.576,BA_Total,seasonal_mam,CHL
2021,1.9949999999999999,BA_Total,seasonal_mam,CHL
2022,1.137,BA_Total,seasonal_mam,CHL
2023,2.2490000000000006,BA_Total,seasonal_mam,CHL
