year,sum,variable,timescale,country
2001,9.268999999999998,BA_Total,seasonal_mam,CMR
2002,6.573,BA_Total,seasonal_mam,CMR
2003,15.431000000000001,BA_Total,seasonal_mam,CMR
2004,15.229999999999997,BA_Total,seasonal_mam,CMR
2005,8.344,BA_Total,seasonal_mam,CMR
2006,10.590000000000002,BA_Total,seasonal_mam,CMR
2007,8.170000000000002,BA_Total,seasonal_mam,CMR
2008,6.965999999999999,BA_Total,seasonal_mam,CMR
2009,7.031999999999998,BA_Total,seasonal_mam,CMR
2010,12.192999999999998,BA_Total,seasonal_mam,CMR
2011,7.267000000000001,BA_Total,seasonal_mam,CMR
2012,6.253999999999999,BA_Total,seasonal_mam,CMR
2013,5.697,BA_Total,seasonal_mam,CMR
2014,5.7250000000000005,BA_Total,seasonal_mam,CMR
2015,4.365,BA_Total,seasonal_mam,CMR
2016,3.08,BA_Total,seasonal_mam,CMR
2017,5.922000000000001,BA_Total,seasonal_mam,CMR
2018,4.792,BA_Total,seasonal_mam,CMR
2019,4.670999999999999,BA_Total,seasonal_mam,CMR
2020,10.729999999999999,BA_Total,seasonal_mam,CMR
2021,8.838000000000001,BA_Total,seasonal_mam,CMR
2022,8.925999999999997,BA_Total,seasonal_mam,CMR
2023,7.341,BA_Total,seasonal_mam,CMR
