year,sum,variable,timescale,region
2001,266.433,BA_Total,seasonal_mam,DRC
2002,282.12700000000007,BA_Total,seasonal_mam,DRC
2003,442.033,BA_Total,seasonal_mam,DRC
2004,456.49499999999995,BA_Total,seasonal_mam,DRC
2005,298.94599999999997,BA_Total,seasonal_mam,DRC
2006,266.19899999999996,BA_Total,seasonal_mam,DRC
2007,294.466,BA_Total,seasonal_mam,DRC
2008,295.403,BA_Total,seasonal_mam,DRC
2009,198.55599999999998,BA_Total,seasonal_mam,DRC
2010,326.087,BA_Total,seasonal_mam,DRC
2011,263.554,BA_Total,seasonal_mam,DRC
2012,284.374,BA_Total,seasonal_mam,DRC
2013,289.655,BA_Total,seasonal_mam,DRC
2014,256.65299999999996,BA_Total,seasonal_mam,DRC
2015,226.11399999999998,BA_Total,seasonal_mam,DRC
2016,266.282,BA_Total,seasonal_mam,DRC
2017,343.27900000000005,BA_Total,seasonal_mam,DRC
2018,169.846,BA_Total,seasonal_mam,DRC
2019,232.08800000000002,BA_Total,seasonal_mam,DRC
2020,217.90699999999995,BA_Total,seasonal_mam,DRC
2021,249.7,BA_Total,seasonal_mam,DRC
2022,212.624,BA_Total,seasonal_mam,DRC
2023,187.78099999999995,BA_Total,seasonal_mam,DRC
