year,sum,variable,timescale,country
2001,0.759,BA_Total,seasonal_mam,ERI
2002,0.764,BA_Total,seasonal_mam,ERI
2003,0.9670000000000001,BA_Total,seasonal_mam,ERI
2004,0.202,BA_Total,seasonal_mam,ERI
2005,0.43700000000000006,BA_Total,seasonal_mam,ERI
2006,0.583,BA_Total,seasonal_mam,ERI
2007,1.439,BA_Total,seasonal_mam,ERI
2008,1.3719999999999999,BA_Total,seasonal_mam,ERI
2009,0.37,BA_Total,seasonal_mam,ERI
2010,0.13,BA_Total,seasonal_mam,ERI
2011,0.474,BA_Total,seasonal_mam,ERI
2012,0.10200000000000001,BA_Total,seasonal_mam,ERI
2013,0.261,BA_Total,seasonal_mam,ERI
2014,0.314,BA_Total,seasonal_mam,ERI
2015,0.215,BA_Total,seasonal_mam,ERI
2016,0.086,BA_Total,seasonal_mam,ERI
2017,0.053000000000000005,BA_Total,seasonal_mam,ERI
2018,0.27499999999999997,BA_Total,seasonal_mam,ERI
2019,0.477,BA_Total,seasonal_mam,ERI
2020,2.084,BA_Total,seasonal_mam,ERI
2021,0.603,BA_Total,seasonal_mam,ERI
2022,0.29400000000000004,BA_Total,seasonal_mam,ERI
2023,0.943,BA_Total,seasonal_mam,ERI
