year,sum,variable,timescale,country
2001,6.226,BA_Total,seasonal_mam,MOZ
2002,43.617999999999995,BA_Total,seasonal_mam,MOZ
2003,12.799,BA_Total,seasonal_mam,MOZ
2004,2.8150000000000004,BA_Total,seasonal_mam,MOZ
2005,63.73899999999998,BA_Total,seasonal_mam,MOZ
2006,5.848000000000001,BA_Total,seasonal_mam,MOZ
2007,17.580999999999996,BA_Total,seasonal_mam,MOZ
2008,11.123999999999999,BA_Total,seasonal_mam,MOZ
2009,10.475999999999997,BA_Total,seasonal_mam,MOZ
2010,3.6839999999999997,BA_Total,seasonal_mam,MOZ
2011,16.018,BA_Total,seasonal_mam,MOZ
2012,16.555,BA_Total,seasonal_mam,MOZ
2013,21.871999999999993,BA_Total,seasonal_mam,MOZ
2014,6.888,BA_Total,seasonal_mam,MOZ
2015,14.130999999999997,BA_Total,seasonal_mam,MOZ
2016,2.901,BA_Total,seasonal_mam,MOZ
2017,1.2520000000000002,BA_Total,seasonal_mam,MOZ
2018,2.8350000000000004,BA_Total,seasonal_mam,MOZ
2019,3.3350000000000004,BA_Total,seasonal_mam,MOZ
2020,14.969999999999999,BA_Total,seasonal_mam,MOZ
2021,6.2299999999999995,BA_Total,seasonal_mam,MOZ
2022,3.8569999999999998,BA_Total,seasonal_mam,MOZ
2023,3.196,BA_Total,seasonal_mam,MOZ
