year,sum,variable,timescale,region
2001,0.029000000000000005,BA_Total,seasonal_mam,MW
2002,0.21000000000000002,BA_Total,seasonal_mam,MW
2003,0.134,BA_Total,seasonal_mam,MW
2004,0.5030000000000001,BA_Total,seasonal_mam,MW
2005,2.107,BA_Total,seasonal_mam,MW
2006,0.14100000000000001,BA_Total,seasonal_mam,MW
2007,0.5760000000000001,BA_Total,seasonal_mam,MW
2008,0.793,BA_Total,seasonal_mam,MW
2009,0.128,BA_Total,seasonal_mam,MW
2010,0.21800000000000003,BA_Total,seasonal_mam,MW
2011,0.88,BA_Total,seasonal_mam,MW
2012,0.6420000000000001,BA_Total,seasonal_mam,MW
2013,0.9950000000000001,BA_Total,seasonal_mam,MW
2014,0.24500000000000002,BA_Total,seasonal_mam,MW
2015,0.24100000000000002,BA_Total,seasonal_mam,MW
2016,0.944,BA_Total,seasonal_mam,MW
2017,0.16299999999999998,BA_Total,seasonal_mam,MW
2018,0.45500000000000007,BA_Total,seasonal_mam,MW
2019,0.782,BA_Total,seasonal_mam,MW
2020,1.5060000000000002,BA_Total,seasonal_mam,MW
2021,0.392,BA_Total,seasonal_mam,MW
2022,0.12200000000000001,BA_Total,seasonal_mam,MW
2023,0.058,BA_Total,seasonal_mam,MW
