year,sum,variable,timescale,region
2001,10.857000000000001,BA_Total,seasonal_mam,ZA
2002,26.65,BA_Total,seasonal_mam,ZA
2003,13.014999999999999,BA_Total,seasonal_mam,ZA
2004,5.266,BA_Total,seasonal_mam,ZA
2005,10.453,BA_Total,seasonal_mam,ZA
2006,15.925999999999998,BA_Total,seasonal_mam,ZA
2007,20.976000000000003,BA_Total,seasonal_mam,ZA
2008,7.739999999999999,BA_Total,seasonal_mam,ZA
2009,19.003999999999998,BA_Total,seasonal_mam,ZA
2010,8.378,BA_Total,seasonal_mam,ZA
2011,13.883,BA_Total,seasonal_mam,ZA
2012,12.759,BA_Total,seasonal_mam,ZA
2013,10.89,BA_Total,seasonal_mam,ZA
2014,8.682999999999998,BA_Total,seasonal_mam,ZA
2015,14.419,BA_Total,seasonal_mam,ZA
2016,4.238,BA_Total,seasonal_mam,ZA
2017,10.251999999999999,BA_Total,seasonal_mam,ZA
2018,3.689,BA_Total,seasonal_mam,ZA
2019,4.017,BA_Total,seasonal_mam,ZA
2020,8.205,BA_Total,seasonal_mam,ZA
2021,21.423000000000002,BA_Total,seasonal_mam,ZA
2022,7.841,BA_Total,seasonal_mam,ZA
2023,8.75,BA_Total,seasonal_mam,ZA
