year,sum,variable,timescale,country
2001,3.6290000000000004,BA_Total,seasonal_son,COG
2002,1.854,BA_Total,seasonal_son,COG
2003,5.664000000000001,BA_Total,seasonal_son,COG
2004,4.009,BA_Total,seasonal_son,COG
2005,11.466,BA_Total,seasonal_son,COG
2006,2.4990000000000006,BA_Total,seasonal_son,COG
2007,1.555,BA_Total,seasonal_son,COG
2008,6.223999999999999,BA_Total,seasonal_son,COG
2009,9.141,BA_Total,seasonal_son,COG
2010,9.17,BA_Total,seasonal_son,COG
2011,13.636999999999999,BA_Total,seasonal_son,COG
2012,3.574,BA_Total,seasonal_son,COG
2013,6.619,BA_Total,seasonal_son,COG
2014,5.944999999999999,BA_Total,seasonal_son,COG
2015,13.296999999999999,BA_Total,seasonal_son,COG
2016,2.4170000000000003,BA_Total,seasonal_son,COG
2017,11.131000000000002,BA_Total,seasonal_son,COG
2018,5.388000000000001,BA_Total,seasonal_son,COG
2019,3.1169999999999995,BA_Total,seasonal_son,COG
2020,3.199,BA_Total,seasonal_son,COG
2021,4.587000000000001,BA_Total,seasonal_son,COG
2022,5.859999999999999,BA_Total,seasonal_son,COG
2023,0.0,BA_Total,seasonal_son,COG
