year,sum,variable,timescale,country
2001,12.387999999999998,BA_Total,seasonal_son,MWI
2002,18.621,BA_Total,seasonal_son,MWI
2003,22.843,BA_Total,seasonal_son,MWI
2004,16.513,BA_Total,seasonal_son,MWI
2005,20.361,BA_Total,seasonal_son,MWI
2006,17.736000000000004,BA_Total,seasonal_son,MWI
2007,20.904,BA_Total,seasonal_son,MWI
2008,18.64,BA_Total,seasonal_son,MWI
2009,14.861999999999998,BA_Total,seasonal_son,MWI
2010,28.062999999999995,BA_Total,seasonal_son,MWI
2011,15.884999999999998,BA_Total,seasonal_son,MWI
2012,24.378,BA_Total,seasonal_son,MWI
2013,17.396,BA_Total,seasonal_son,MWI
2014,18.157,BA_Total,seasonal_son,MWI
2015,19.234,BA_Total,seasonal_son,MWI
2016,22.976,BA_Total,seasonal_son,MWI
2017,15.456999999999999,BA_Total,seasonal_son,MWI
2018,15.088000000000001,BA_Total,seasonal_son,MWI
2019,12.579,BA_Total,seasonal_son,MWI
2020,15.618,BA_Total,seasonal_son,MWI
2021,12.450000000000001,BA_Total,seasonal_son,MWI
2022,22.071999999999996,BA_Total,seasonal_son,MWI
2023,0.0,BA_Total,seasonal_son,MWI
