year,sum,variable,timescale,region
2001,0.0,BA_Total,seasonal_son,SL
2002,0.0,BA_Total,seasonal_son,SL
2003,0.0,BA_Total,seasonal_son,SL
2004,0.0,BA_Total,seasonal_son,SL
2005,0.0,BA_Total,seasonal_son,SL
2006,0.0,BA_Total,seasonal_son,SL
2007,0.0,BA_Total,seasonal_son,SL
2008,0.0,BA_Total,seasonal_son,SL
2009,0.0,BA_Total,seasonal_son,SL
2010,0.0,BA_Total,seasonal_son,SL
2011,0.0,BA_Total,seasonal_son,SL
2012,0.0,BA_Total,seasonal_son,SL
2013,0.0,BA_Total,seasonal_son,SL
2014,0.0,BA_Total,seasonal_son,SL
2015,0.0,BA_Total,seasonal_son,SL
2016,0.0,BA_Total,seasonal_son,SL
2017,0.0,BA_Total,seasonal_son,SL
2018,0.0,BA_Total,seasonal_son,SL
2019,0.0,BA_Total,seasonal_son,SL
2020,0.0,BA_Total,seasonal_son,SL
2021,0.0,BA_Total,seasonal_son,SL
2022,0.0,BA_Total,seasonal_son,SL
2023,0.0,BA_Total,seasonal_son,SL
