year,sum,variable,timescale,country
2001,11.512,BA_Total,seasonal_son,TGO
2002,7.3229999999999995,BA_Total,seasonal_son,TGO
2003,10.843,BA_Total,seasonal_son,TGO
2004,10.533000000000001,BA_Total,seasonal_son,TGO
2005,18.445999999999998,BA_Total,seasonal_son,TGO
2006,11.024,BA_Total,seasonal_son,TGO
2007,7.314,BA_Total,seasonal_son,TGO
2008,10.386,BA_Total,seasonal_son,TGO
2009,10.354999999999999,BA_Total,seasonal_son,TGO
2010,6.691,BA_Total,seasonal_son,TGO
2011,7.916,BA_Total,seasonal_son,TGO
2012,3.2190000000000007,BA_Total,seasonal_son,TGO
2013,8.277000000000001,BA_Total,seasonal_son,TGO
2014,2.341,BA_Total,seasonal_son,TGO
2015,7.249,BA_Total,seasonal_son,TGO
2016,3.157,BA_Total,seasonal_son,TGO
2017,9.503,BA_Total,seasonal_son,TGO
2018,2.9379999999999993,BA_Total,seasonal_son,TGO
2019,0.809,BA_Total,seasonal_son,TGO
2020,2.815,BA_Total,seasonal_son,TGO
2021,0.545,BA_Total,seasonal_son,TGO
2022,2.1,BA_Total,seasonal_son,TGO
2023,0.0,BA_Total,seasonal_son,TGO
