year,sum,variable,timescale,region
2001,0.0,BA_Total,seasonal_son,TN
2002,0.0,BA_Total,seasonal_son,TN
2003,0.098,BA_Total,seasonal_son,TN
2004,0.096,BA_Total,seasonal_son,TN
2005,0.016,BA_Total,seasonal_son,TN
2006,0.007,BA_Total,seasonal_son,TN
2007,0.025,BA_Total,seasonal_son,TN
2008,0.168,BA_Total,seasonal_son,TN
2009,0.009000000000000001,BA_Total,seasonal_son,TN
2010,0.013000000000000001,BA_Total,seasonal_son,TN
2011,0.11,BA_Total,seasonal_son,TN
2012,0.235,BA_Total,seasonal_son,TN
2013,0.012,BA_Total,seasonal_son,TN
2014,0.181,BA_Total,seasonal_son,TN
2015,0.006,BA_Total,seasonal_son,TN
2016,0.015,BA_Total,seasonal_son,TN
2017,0.0,BA_Total,seasonal_son,TN
2018,0.0,BA_Total,seasonal_son,TN
2019,0.09,BA_Total,seasonal_son,TN
2020,0.44100000000000006,BA_Total,seasonal_son,TN
2021,0.011,BA_Total,seasonal_son,TN
2022,0.04,BA_Total,seasonal_son,TN
2023,0.0,BA_Total,seasonal_son,TN
