year,sum,variable,timescale,country
2001,0.49200000000000005,BA_Total,yearly,ALB
2002,0.0,BA_Total,yearly,ALB
2003,0.493,BA_Total,yearly,ALB
2004,0.069,BA_Total,yearly,ALB
2005,0.335,BA_Total,yearly,ALB
2006,0.06,BA_Total,yearly,ALB
2007,4.5569999999999995,BA_Total,yearly,ALB
2008,0.5750000000000001,BA_Total,yearly,ALB
2009,0.22300000000000003,BA_Total,yearly,ALB
2010,0.403,BA_Total,yearly,ALB
2011,1.616,BA_Total,yearly,ALB
2012,1.9630000000000003,BA_Total,yearly,ALB
2013,0.039,BA_Total,yearly,ALB
2014,0.015000000000000001,BA_Total,yearly,ALB
2015,0.127,BA_Total,yearly,ALB
2016,0.138,BA_Total,yearly,ALB
2017,1.2020000000000004,BA_Total,yearly,ALB
2018,0.177,BA_Total,yearly,ALB
2019,0.187,BA_Total,yearly,ALB
2020,0.261,BA_Total,yearly,ALB
2021,0.629,BA_Total,yearly,ALB
2022,0.309,BA_Total,yearly,ALB
2023,0.0,BA_Total,yearly,ALB
