year,sum,variable,timescale,region
2001,5.851000000000001,BA_Total,yearly,GT
2002,14.411999999999999,BA_Total,yearly,GT
2003,37.056999999999995,BA_Total,yearly,GT
2004,6.152,BA_Total,yearly,GT
2005,28.612,BA_Total,yearly,GT
2006,9.332,BA_Total,yearly,GT
2007,23.631,BA_Total,yearly,GT
2008,9.909,BA_Total,yearly,GT
2009,17.736,BA_Total,yearly,GT
2010,12.23,BA_Total,yearly,GT
2011,11.222,BA_Total,yearly,GT
2012,9.989,BA_Total,yearly,GT
2013,14.862000000000002,BA_Total,yearly,GT
2014,7.819999999999999,BA_Total,yearly,GT
2015,11.522,BA_Total,yearly,GT
2016,15.679,BA_Total,yearly,GT
2017,12.549000000000001,BA_Total,yearly,GT
2018,7.147,BA_Total,yearly,GT
2019,11.326,BA_Total,yearly,GT
2020,12.507000000000001,BA_Total,yearly,GT
2021,7.213,BA_Total,yearly,GT
2022,8.006,BA_Total,yearly,GT
2023,7.4270000000000005,BA_Total,yearly,GT
