year,sum,variable,timescale,region
2001,0.0,BA_Total,yearly,LB
2002,0.003,BA_Total,yearly,LB
2003,0.006,BA_Total,yearly,LB
2004,0.01,BA_Total,yearly,LB
2005,0.0,BA_Total,yearly,LB
2006,0.071,BA_Total,yearly,LB
2007,0.052000000000000005,BA_Total,yearly,LB
2008,0.0,BA_Total,yearly,LB
2009,0.002,BA_Total,yearly,LB
2010,0.038000000000000006,BA_Total,yearly,LB
2011,0.001,BA_Total,yearly,LB
2012,0.002,BA_Total,yearly,LB
2013,0.0,BA_Total,yearly,LB
2014,0.0,BA_Total,yearly,LB
2015,0.005,BA_Total,yearly,LB
2016,0.001,BA_Total,yearly,LB
2017,0.006,BA_Total,yearly,LB
2018,0.0,BA_Total,yearly,LB
2019,0.06,BA_Total,yearly,LB
2020,0.068,BA_Total,yearly,LB
2021,0.0,BA_Total,yearly,LB
2022,0.0,BA_Total,yearly,LB
2023,0.0,BA_Total,yearly,LB
