year,sum,variable,timescale,country
2001,49.88699999999999,BA_Total,yearly,MEX
2002,71.624,BA_Total,yearly,MEX
2003,114.877,BA_Total,yearly,MEX
2004,44.665,BA_Total,yearly,MEX
2005,116.53399999999998,BA_Total,yearly,MEX
2006,68.13799999999999,BA_Total,yearly,MEX
2007,72.94399999999999,BA_Total,yearly,MEX
2008,82.28799999999998,BA_Total,yearly,MEX
2009,74.19899999999998,BA_Total,yearly,MEX
2010,45.791999999999994,BA_Total,yearly,MEX
2011,143.02299999999997,BA_Total,yearly,MEX
2012,64.00599999999999,BA_Total,yearly,MEX
2013,80.06599999999997,BA_Total,yearly,MEX
2014,24.294,BA_Total,yearly,MEX
2015,40.27799999999999,BA_Total,yearly,MEX
2016,63.88499999999999,BA_Total,yearly,MEX
2017,89.23299999999999,BA_Total,yearly,MEX
2018,59.473,BA_Total,yearly,MEX
2019,90.20899999999999,BA_Total,yearly,MEX
2020,66.49199999999999,BA_Total,yearly,MEX
2021,63.672999999999995,BA_Total,yearly,MEX
2022,56.38399999999999,BA_Total,yearly,MEX
2023,64.613,BA_Total,yearly,MEX
