year,sum,variable,timescale,region
2001,0.0,BA_Total,yearly,TJ
2002,0.27,BA_Total,yearly,TJ
2003,0.819,BA_Total,yearly,TJ
2004,1.088,BA_Total,yearly,TJ
2005,0.199,BA_Total,yearly,TJ
2006,0.277,BA_Total,yearly,TJ
2007,0.124,BA_Total,yearly,TJ
2008,0.02,BA_Total,yearly,TJ
2009,0.14,BA_Total,yearly,TJ
2010,0.15,BA_Total,yearly,TJ
2011,0.032,BA_Total,yearly,TJ
2012,0.028999999999999998,BA_Total,yearly,TJ
2013,0.21600000000000003,BA_Total,yearly,TJ
2014,0.128,BA_Total,yearly,TJ
2015,0.008,BA_Total,yearly,TJ
2016,0.023,BA_Total,yearly,TJ
2017,0.014,BA_Total,yearly,TJ
2018,0.0,BA_Total,yearly,TJ
2019,0.008,BA_Total,yearly,TJ
2020,0.5230000000000001,BA_Total,yearly,TJ
2021,0.17099999999999999,BA_Total,yearly,TJ
2022,0.014,BA_Total,yearly,TJ
2023,0.001,BA_Total,yearly,TJ
