year,sum,variable,timescale,country
2001,0.353,BA_Total,yearly_jj,CHL
2002,2.2839999999999994,BA_Total,yearly_jj,CHL
2003,3.454,BA_Total,yearly_jj,CHL
2004,3.236,BA_Total,yearly_jj,CHL
2005,5.58,BA_Total,yearly_jj,CHL
2006,1.739,BA_Total,yearly_jj,CHL
2007,3.324,BA_Total,yearly_jj,CHL
2008,3.788,BA_Total,yearly_jj,CHL
2009,3.382,BA_Total,yearly_jj,CHL
2010,3.497,BA_Total,yearly_jj,CHL
2011,3.7550000000000003,BA_Total,yearly_jj,CHL
2012,6.203,BA_Total,yearly_jj,CHL
2013,0.9369999999999999,BA_Total,yearly_jj,CHL
2014,5.93,BA_Total,yearly_jj,CHL
2015,11.007,BA_Total,yearly_jj,CHL
2016,2.231,BA_Total,yearly_jj,CHL
2017,24.217,BA_Total,yearly_jj,CHL
2018,1.88,BA_Total,yearly_jj,CHL
2019,4.269,BA_Total,yearly_jj,CHL
2020,5.319,BA_Total,yearly_jj,CHL
2021,2.845,BA_Total,yearly_jj,CHL
2022,5.385,BA_Total,yearly_jj,CHL
2023,20.587999999999997,BA_Total,yearly_jj,CHL
