year,sum,variable,timescale,region
2001,0.15299999999999997,BA_Total,yearly_jj,DZ
2002,3.748,BA_Total,yearly_jj,DZ
2003,1.318,BA_Total,yearly_jj,DZ
2004,4.208,BA_Total,yearly_jj,DZ
2005,5.384,BA_Total,yearly_jj,DZ
2006,4.785,BA_Total,yearly_jj,DZ
2007,2.128,BA_Total,yearly_jj,DZ
2008,8.475999999999999,BA_Total,yearly_jj,DZ
2009,4.305,BA_Total,yearly_jj,DZ
2010,6.053000000000001,BA_Total,yearly_jj,DZ
2011,3.3970000000000002,BA_Total,yearly_jj,DZ
2012,2.9040000000000004,BA_Total,yearly_jj,DZ
2013,12.094999999999999,BA_Total,yearly_jj,DZ
2014,2.1950000000000003,BA_Total,yearly_jj,DZ
2015,4.9479999999999995,BA_Total,yearly_jj,DZ
2016,2.407,BA_Total,yearly_jj,DZ
2017,2.028,BA_Total,yearly_jj,DZ
2018,4.4350000000000005,BA_Total,yearly_jj,DZ
2019,1.0100000000000002,BA_Total,yearly_jj,DZ
2020,2.686,BA_Total,yearly_jj,DZ
2021,5.167,BA_Total,yearly_jj,DZ
2022,5.988999999999999,BA_Total,yearly_jj,DZ
2023,2.339000000000001,BA_Total,yearly_jj,DZ
