year,sum,variable,timescale,region
2001,0.14600000000000002,BA_Total,yearly_jj,INDO
2002,10.277999999999999,BA_Total,yearly_jj,INDO
2003,120.51899999999999,BA_Total,yearly_jj,INDO
2004,28.112999999999996,BA_Total,yearly_jj,INDO
2005,111.40599999999998,BA_Total,yearly_jj,INDO
2006,25.863999999999994,BA_Total,yearly_jj,INDO
2007,130.789,BA_Total,yearly_jj,INDO
2008,13.937000000000001,BA_Total,yearly_jj,INDO
2009,11.498000000000001,BA_Total,yearly_jj,INDO
2010,75.402,BA_Total,yearly_jj,INDO
2011,6.525,BA_Total,yearly_jj,INDO
2012,33.538,BA_Total,yearly_jj,INDO
2013,44.589999999999996,BA_Total,yearly_jj,INDO
2014,27.223,BA_Total,yearly_jj,INDO
2015,78.65799999999997,BA_Total,yearly_jj,INDO
2016,109.67899999999999,BA_Total,yearly_jj,INDO
2017,5.566,BA_Total,yearly_jj,INDO
2018,6.92,BA_Total,yearly_jj,INDO
2019,31.055999999999997,BA_Total,yearly_jj,INDO
2020,86.83999999999997,BA_Total,yearly_jj,INDO
2021,5.965,BA_Total,yearly_jj,INDO
2022,1.786,BA_Total,yearly_jj,INDO
2023,1.7830000000000001,BA_Total,yearly_jj,INDO
