year,sum,variable,timescale,region
2001,0.0,BA_Total,yearly_jj,IS
2002,0.0,BA_Total,yearly_jj,IS
2003,0.0,BA_Total,yearly_jj,IS
2004,0.0,BA_Total,yearly_jj,IS
2005,0.0,BA_Total,yearly_jj,IS
2006,0.09,BA_Total,yearly_jj,IS
2007,0.0,BA_Total,yearly_jj,IS
2008,0.0,BA_Total,yearly_jj,IS
2009,0.0,BA_Total,yearly_jj,IS
2010,0.0,BA_Total,yearly_jj,IS
2011,0.0,BA_Total,yearly_jj,IS
2012,0.0,BA_Total,yearly_jj,IS
2013,0.0,BA_Total,yearly_jj,IS
2014,0.0,BA_Total,yearly_jj,IS
2015,0.0,BA_Total,yearly_jj,IS
2016,0.0,BA_Total,yearly_jj,IS
2017,0.0,BA_Total,yearly_jj,IS
2018,0.0,BA_Total,yearly_jj,IS
2019,0.0,BA_Total,yearly_jj,IS
2020,0.0,BA_Total,yearly_jj,IS
2021,0.0,BA_Total,yearly_jj,IS
2022,0.0,BA_Total,yearly_jj,IS
2023,0.0,BA_Total,yearly_jj,IS
