year,sum,variable,timescale,region
2001,0.203,BA_Total,yearly_jj,LR
2002,0.003,BA_Total,yearly_jj,LR
2003,2.2059999999999995,BA_Total,yearly_jj,LR
2004,1.5510000000000002,BA_Total,yearly_jj,LR
2005,0.45100000000000007,BA_Total,yearly_jj,LR
2006,3.412,BA_Total,yearly_jj,LR
2007,1.9240000000000002,BA_Total,yearly_jj,LR
2008,1.199,BA_Total,yearly_jj,LR
2009,19.802999999999997,BA_Total,yearly_jj,LR
2010,1.2770000000000001,BA_Total,yearly_jj,LR
2011,1.5910000000000002,BA_Total,yearly_jj,LR
2012,2.9010000000000002,BA_Total,yearly_jj,LR
2013,1.4330000000000003,BA_Total,yearly_jj,LR
2014,8.118,BA_Total,yearly_jj,LR
2015,19.474999999999998,BA_Total,yearly_jj,LR
2016,1.3330000000000002,BA_Total,yearly_jj,LR
2017,2.1610000000000005,BA_Total,yearly_jj,LR
2018,0.662,BA_Total,yearly_jj,LR
2019,6.506,BA_Total,yearly_jj,LR
2020,0.971,BA_Total,yearly_jj,LR
2021,0.23900000000000002,BA_Total,yearly_jj,LR
2022,0.9490000000000001,BA_Total,yearly_jj,LR
2023,1.737,BA_Total,yearly_jj,LR
