year,sum,variable,timescale,country
2001,0.0,BA_Total,yearly_jj,PNG
2002,4.346,BA_Total,yearly_jj,PNG
2003,17.424,BA_Total,yearly_jj,PNG
2004,14.562999999999999,BA_Total,yearly_jj,PNG
2005,30.784999999999997,BA_Total,yearly_jj,PNG
2006,8.876999999999999,BA_Total,yearly_jj,PNG
2007,19.826,BA_Total,yearly_jj,PNG
2008,5.405,BA_Total,yearly_jj,PNG
2009,6.771,BA_Total,yearly_jj,PNG
2010,9.746,BA_Total,yearly_jj,PNG
2011,7.631,BA_Total,yearly_jj,PNG
2012,5.306,BA_Total,yearly_jj,PNG
2013,6.375000000000001,BA_Total,yearly_jj,PNG
2014,8.815999999999999,BA_Total,yearly_jj,PNG
2015,15.281,BA_Total,yearly_jj,PNG
2016,33.43,BA_Total,yearly_jj,PNG
2017,5.053,BA_Total,yearly_jj,PNG
2018,7.3100000000000005,BA_Total,yearly_jj,PNG
2019,18.944,BA_Total,yearly_jj,PNG
2020,7.591,BA_Total,yearly_jj,PNG
2021,4.588000000000001,BA_Total,yearly_jj,PNG
2022,5.666,BA_Total,yearly_jj,PNG
2023,6.2780000000000005,BA_Total,yearly_jj,PNG
