year,sum,variable,timescale,region
2002,0.0,Cem_Forest_NonForest,seasonal_djf,J
2003,4.3862024865783695e-05,Cem_Forest_NonForest,seasonal_djf,J
2004,0.0026302748348401793,Cem_Forest_NonForest,seasonal_djf,J
2005,0.0,Cem_Forest_NonForest,seasonal_djf,J
2006,0.00025340551688637924,Cem_Forest_NonForest,seasonal_djf,J
2007,0.000576047878505188,Cem_Forest_NonForest,seasonal_djf,J
2008,0.002418433734562637,Cem_Forest_NonForest,seasonal_djf,J
2009,0.002736777387851379,Cem_Forest_NonForest,seasonal_djf,J
2010,0.00010196142430552672,Cem_Forest_NonForest,seasonal_djf,J
2011,0.0024790743303859863,Cem_Forest_NonForest,seasonal_djf,J
2012,0.0,Cem_Forest_NonForest,seasonal_djf,J
2013,0.0006952768997785187,Cem_Forest_NonForest,seasonal_djf,J
2014,0.003105071258782898,Cem_Forest_NonForest,seasonal_djf,J
2015,0.001267782308970032,Cem_Forest_NonForest,seasonal_djf,J
2016,0.0025203597763383636,Cem_Forest_NonForest,seasonal_djf,J
2017,0.002192484222604721,Cem_Forest_NonForest,seasonal_djf,J
2018,0.003473601862619034,Cem_Forest_NonForest,seasonal_djf,J
2019,0.002055748411658432,Cem_Forest_NonForest,seasonal_djf,J
2020,0.0054140639828929756,Cem_Forest_NonForest,seasonal_djf,J
