year,sum,variable,timescale,country
2002,0.0,Cem_Forest_NonForest,seasonal_djf,LSO
2003,0.0,Cem_Forest_NonForest,seasonal_djf,LSO
2004,0.0,Cem_Forest_NonForest,seasonal_djf,LSO
2005,0.0,Cem_Forest_NonForest,seasonal_djf,LSO
2006,0.0,Cem_Forest_NonForest,seasonal_djf,LSO
2007,0.0,Cem_Forest_NonForest,seasonal_djf,LSO
2008,0.0,Cem_Forest_NonForest,seasonal_djf,LSO
2009,0.0,Cem_Forest_NonForest,seasonal_djf,LSO
2010,0.0,Cem_Forest_NonForest,seasonal_djf,LSO
2011,0.0,Cem_Forest_NonForest,seasonal_djf,LSO
2012,0.0,Cem_Forest_NonForest,seasonal_djf,LSO
2013,0.0,Cem_Forest_NonForest,seasonal_djf,LSO
2014,0.0,Cem_Forest_NonForest,seasonal_djf,LSO
2015,0.0,Cem_Forest_NonForest,seasonal_djf,LSO
2016,0.0,Cem_Forest_NonForest,seasonal_djf,LSO
2017,0.0,Cem_Forest_NonForest,seasonal_djf,LSO
2018,0.0,Cem_Forest_NonForest,seasonal_djf,LSO
2019,0.0,Cem_Forest_NonForest,seasonal_djf,LSO
2020,0.0,Cem_Forest_NonForest,seasonal_djf,LSO
