year,sum,variable,timescale,country
2002,0.0,Cem_Forest_NonForest,seasonal_djf,PRY
2003,0.11145556549887156,Cem_Forest_NonForest,seasonal_djf,PRY
2004,0.2511227147658251,Cem_Forest_NonForest,seasonal_djf,PRY
2005,0.3184929931405376,Cem_Forest_NonForest,seasonal_djf,PRY
2006,0.3164579786819975,Cem_Forest_NonForest,seasonal_djf,PRY
2007,0.0323662965293733,Cem_Forest_NonForest,seasonal_djf,PRY
2008,0.11060975146228316,Cem_Forest_NonForest,seasonal_djf,PRY
2009,0.20804311981765117,Cem_Forest_NonForest,seasonal_djf,PRY
2010,0.11514274872158299,Cem_Forest_NonForest,seasonal_djf,PRY
2011,0.07937184044520776,Cem_Forest_NonForest,seasonal_djf,PRY
2012,0.7424180512026435,Cem_Forest_NonForest,seasonal_djf,PRY
2013,0.47663911448326146,Cem_Forest_NonForest,seasonal_djf,PRY
2014,0.4463664287426861,Cem_Forest_NonForest,seasonal_djf,PRY
2015,0.1292047129190176,Cem_Forest_NonForest,seasonal_djf,PRY
2016,0.06438134514105363,Cem_Forest_NonForest,seasonal_djf,PRY
2017,0.09016009539428536,Cem_Forest_NonForest,seasonal_djf,PRY
2018,0.020485378786249876,Cem_Forest_NonForest,seasonal_djf,PRY
2019,0.24243418776271902,Cem_Forest_NonForest,seasonal_djf,PRY
2020,0.05749465758236707,Cem_Forest_NonForest,seasonal_djf,PRY
