year,sum,variable,timescale,region
2002,0.0,Cem_Forest_NonForest,seasonal_djf,SD
2003,0.0023404358800793,Cem_Forest_NonForest,seasonal_djf,SD
2004,6.193490557644653e-05,Cem_Forest_NonForest,seasonal_djf,SD
2005,0.0,Cem_Forest_NonForest,seasonal_djf,SD
2006,0.003089258362338852,Cem_Forest_NonForest,seasonal_djf,SD
2007,0.018417459194852034,Cem_Forest_NonForest,seasonal_djf,SD
2008,0.0288568450643363,Cem_Forest_NonForest,seasonal_djf,SD
2009,0.0017374092494682769,Cem_Forest_NonForest,seasonal_djf,SD
2010,0.008126568297827989,Cem_Forest_NonForest,seasonal_djf,SD
2011,0.0012385683505085753,Cem_Forest_NonForest,seasonal_djf,SD
2012,0.001048288664549179,Cem_Forest_NonForest,seasonal_djf,SD
2013,0.011000375746993897,Cem_Forest_NonForest,seasonal_djf,SD
2014,0.0053275859758709875,Cem_Forest_NonForest,seasonal_djf,SD
2015,0.008732820310818686,Cem_Forest_NonForest,seasonal_djf,SD
2016,0.0014978872581430207,Cem_Forest_NonForest,seasonal_djf,SD
2017,0.0,Cem_Forest_NonForest,seasonal_djf,SD
2018,0.00853047949829683,Cem_Forest_NonForest,seasonal_djf,SD
2019,0.020475403202554105,Cem_Forest_NonForest,seasonal_djf,SD
2020,0.000604231612315094,Cem_Forest_NonForest,seasonal_djf,SD
