year,sum,variable,timescale,country
2002,0.14032798275001523,Cem_Forest_NonForest,seasonal_jja,BLR
2003,0.0,Cem_Forest_NonForest,seasonal_jja,BLR
2004,0.00020562713057202149,Cem_Forest_NonForest,seasonal_jja,BLR
2005,0.00014135371355941773,Cem_Forest_NonForest,seasonal_jja,BLR
2006,0.00047055091943005366,Cem_Forest_NonForest,seasonal_jja,BLR
2007,0.00011234207369213867,Cem_Forest_NonForest,seasonal_jja,BLR
2008,0.002864252193699951,Cem_Forest_NonForest,seasonal_jja,BLR
2009,0.0,Cem_Forest_NonForest,seasonal_jja,BLR
2010,0.0010200514660587158,Cem_Forest_NonForest,seasonal_jja,BLR
2011,0.0010402083113730926,Cem_Forest_NonForest,seasonal_jja,BLR
2012,0.0,Cem_Forest_NonForest,seasonal_jja,BLR
2013,0.00019016896549612427,Cem_Forest_NonForest,seasonal_jja,BLR
2014,0.0008623742282860413,Cem_Forest_NonForest,seasonal_jja,BLR
2015,0.21206942167670054,Cem_Forest_NonForest,seasonal_jja,BLR
2016,0.0,Cem_Forest_NonForest,seasonal_jja,BLR
2017,0.004684291452061157,Cem_Forest_NonForest,seasonal_jja,BLR
2018,0.004128791680893281,Cem_Forest_NonForest,seasonal_jja,BLR
2019,0.0013387127443628235,Cem_Forest_NonForest,seasonal_jja,BLR
2020,0.0005698304317145996,Cem_Forest_NonForest,seasonal_jja,BLR
